mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1	a.i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	1/2	1/2	4/4	3	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
3	3	1/2	1/2	4/4	3	1	VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
4	4	1/2	1/2	4/4	3	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
5	5	0	0	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	3	1	VI	iv6	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	1/2	1/2	4/4	3	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	0	0	4/4	3	1	vii		a	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
7	7	1/2	1/2	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
8	8	0	0	4/4	3	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
8	8	1/2	1/2	4/4	3	1	IV/iv		a	i		IV/iv	IV				iv			M	1	1	-2, 2, -1		-2	-2
9	9	0	0	4/4	3	1	V(4)/iv		a	i		V(4)/iv	V			4	iv			M	1	1	0, -1, 1		0	0
9	9	1/2	1/2	4/4	3	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
10	10	0	0	4/4	3	1	iv\\		a	i		iv	iv						\\	m	1	1	-1, -4, 0		-1	-1
11	11	0	0	4/4	3	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
13	13	0	0	4/4	3	1	iv(9)		a	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
13	13	1/2	1/2	4/4	3	1	ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
14	14	0	0	4/4	3	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	1/2	1/2	4/4	3	1	V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
15	15	0	0	4/4	3	1	V(4)		a	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
15	15	1/2	1/2	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
16	16	0	0	4/4	3	1	i\\		a	i		i	i						\\	m	1	1	0, -3, 1		0	0
17	17	1/2	1/2	4/4	3	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
18	18	1/2	1/2	4/4	3	1	VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
19	19	1/2	1/2	4/4	3	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
20	20	0	0	4/4	3	1	V\\		a	i		V	V						\\	M	1	1	1, 5, 2		1	1
21	21	0	0	4/4	3	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
21	21	1/2	1/2	4/4	3	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
22	22	0	0	4/4	3	1	vii		a	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
22	22	1/2	1/2	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
23	23	0	0	4/4	3	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
23	23	1/2	1/2	4/4	3	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
24	24	0	0	4/4	3	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
24	24	1/2	1/2	4/4	3	1	V/VII		a	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
25	25	0	0	4/4	3	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
25	25	1/2	1/2	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
26	26	0	0	4/4	3	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
26	26	1/2	1/2	4/4	3	1	ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
27	27	0	0	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
27	27	1/2	1/2	4/4	3	1	V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
28	28	0	0	4/4	3	1	V(4)		a	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
28	28	1/2	1/2	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
29	29	0	0	4/4	3	1	i\\		a	i		i	i						\\	m	1	1	0, -3, 1		0	0
32	32	0	0	4/4	3	1	iv/iv		a	i		iv/iv	iv				iv			m	1	1	-2, -5, -1		-2	-2
32	32	1/2	1/2	4/4	3	1	IV/iv		a	i		IV/iv	IV				iv			M	1	1	-2, 2, -1		-2	-2
33	33	0	0	4/4	3	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
33	33	1/2	1/2	4/4	3	1	V(64)/iv		a	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
34	34	0	0	4/4	3	1	V(4)/iv		a	i		V(4)/iv	V			4	iv			M	1	1	0, -1, 1		0	0
34	34	1/2	1/2	4/4	3	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
35	35	0	0	4/4	3	1	iv\\		a	i		iv	iv						\\	m	1	1	-1, -4, 0		-1	-1
37	37	0	0	4/4	3	1	iv/VII		a	i		iv/VII	iv				VII			m	1	1	-3, -6, -2		-3	-3
37	37	1/2	1/2	4/4	3	1	IV/VII		a	i		IV/VII	IV				VII			M	1	1	-3, 1, -2		-3	-3
38	38	0	0	4/4	3	1	V(6)/vii		a	i		V(6)/vii	V			6	vii			M	1	1	-1, 3, -5		-1	-1
38	38	1/2	1/2	4/4	3	1	V(64)/vii		a	i		V(64)/vii	V			64	vii			M	1	1	-1, -2, -5		-1	-1
39	39	0	0	4/4	3	1	V(4)/VII		a	i		V(4)/VII	V			4	VII			M	1	1	-1, -2, 0		-1	-1
39	39	1/2	1/2	4/4	3	1	V/VII		a	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
40	40	0	0	4/4	3	1	VII\\		a	i		VII	VII						\\	M	1	1	-2, 2, -1		-2	-2
42	42	0	0	4/4	3	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
43	43	0	0	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
43	43	1/2	1/2	4/4	3	1	V(4)		a	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
44	44	1/2	1/2	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
45	45	0	0	4/4	3	1	i\\		a	i		i	i						\\	m	1	1	0, -3, 1		0	0
46	46	0	0	4/4	3	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
47	47	0	0	4/4	3	1	V6/VI		a	i		V6/VI	V		6		VI			M	1	1	1, -2, -3		-3	1
48	48	0	0	4/4	3	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
48	48	1/2	1/2	4/4	3	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
49	49	0	0	4/4	3	1	IV/VII		a	i		IV/VII	IV				VII			M	1	1	-3, 1, -2		-3	-3
49	49	1/2	1/2	4/4	3	1	V/VII		a	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
50	50	0	0	4/4	3	1	VII\\		a	i		VII	VII						\\	M	1	1	-2, 2, -1		-2	-2
51	51	0	0	4/4	3	1	V6/VII		a	i		V6/VII	V		6		VII			M	1	1	3, 0, -1		-1	3
52	52	0	0	4/4	3	1	VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
52	52	1/2	1/2	4/4	3	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
53	53	0	0	4/4	3	1	IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
53	53	1/2	1/2	4/4	3	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
