mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	6	1		a.i		a	i		i	i							m	1	1	0, -3, 1		0	0
1	1	3/4	3/4	2/2	6	1		V6/iv		a	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
2	2	0	0	2/2	6	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	0	0	2/2	6	1		i\\	V/iv\\	a	i		i	i						\\	m	1	1	0, -3, 1		0	0
3	3	3/4	3/4	2/2	6	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
4	4	3/4	3/4	2/2	6	1		v6	VII	a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
5	5	0	0	2/2	6	1		iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	1/4	1/4	2/2	6	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
5	5	1/2	1/2	2/2	6	1		iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	0	0	2/2	6	1		V\\		a	i		V	V						\\	M	1	1	1, 5, 2		1	1
7	7	0	0	2/2	6	1		V/VII		a	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
7	7	1/4	1/4	2/2	6	1		V(64)/VII		a	i		V(64)/VII	V			64	VII			M	1	1	-1, -2, 2		-1	-1
7	7	1/2	1/2	2/2	6	1		V(4)/VII		a	i		V(4)/VII	V			4	VII			M	1	1	-1, -2, 0		-1	-1
7	7	3/4	3/4	2/2	6	1		V/VII		a	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
8	8	1/4	1/4	2/2	6	1		V7/VII		a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
8	8	1/2	1/2	2/2	6	1		VII\\		a	i		VII	VII						\\	M	1	1	-2, 2, -1		-2	-2
9	9	1/4	1/4	2/2	6	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
9	9	1/2	1/2	2/2	6	1		V(6)/III		a	i		V(6)/III	V			6	III			M	1	1	-2, 2, 1		-2	-2
9	9	3/4	3/4	2/2	6	1		V(64)/III		a	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2
10	10	0	0	2/2	6	1		V(4)/III		a	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
10	10	1/4	1/4	2/2	6	1		V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
10	10	1/2	1/2	2/2	6	1		III\\		a	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
11	11	0	0	2/2	6	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	11	1/2	1/2	2/2	6	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
