mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1		g.i		g	i		i	i							m	1	1	0, -3, 1		0	0
2	2	0	0	4/4	4	1		VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	2	1/2	1/2	4/4	4	1		V6/iv		g	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
2	2	3/4	3/4	4/4	4	1		#viio/iv		g	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
3	3	0	0	4/4	4	1		iv(4)		g	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
3	3	1/4	1/4	4/4	4	1		iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	1/2	1/2	4/4	4	1		V\\		g	i		V	V						\\	M	1	1	1, 5, 2		1	1
4	4	0	0	4/4	4	1		i		g	i		i	i							m	1	1	0, -3, 1		0	0
5	5	1/2	1/2	4/4	4	1		v		g	i		v	v							m	1	1	1, -2, 2		1	1
6	6	0	0	4/4	4	1		iv6(6)		g	i		iv6(6)	iv		6	6				m	1	1	-4, 2, -1		-1	-4
6	6	1/4	1/4	4/4	4	1		iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	1/2	1/2	4/4	4	1		V\\		g	i		V	V						\\	M	1	1	1, 5, 2		1	1
7	7	0	0	4/4	4	1		iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	0	0	4/4	4	1		V6/IV		g	i		V6/IV	V		6		IV			M	1	1	4, 1, 0		0	4
8	8	1/2	1/2	4/4	4	1		V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
8	8	3/4	3/4	4/4	4	1		V(64)/VII		g	i		V(64)/VII	V			64	VII			M	1	1	-1, -2, 2		-1	-1
9	9	0	0	4/4	4	1		V(4)/VII		g	i		V(4)/VII	V			4	VII			M	1	1	-1, -2, 0		-1	-1
9	9	1/4	1/4	4/4	4	1		V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
9	9	1/2	1/2	4/4	4	1		VII\\		g	i		VII	VII						\\	M	1	1	-2, 2, -1		-2	-2
10	10	1/2	1/2	4/4	4	1		IV/VII		g	i		IV/VII	IV				VII			M	1	1	-3, 1, -2		-3	-3
11	11	0	0	4/4	4	1		VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
11	11	3/4	3/4	4/4	4	1		IV6		g	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
12	12	0	0	4/4	4	1		viio6/IV		g	i		viio6/IV	vii	o	6		IV			o	1	1	1, -2, 4		4	1
12	12	1/2	1/2	4/4	4	1		IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
13	13	0	0	4/4	4	1		IV/IV		g	i		IV/IV	IV				IV			M	1	1	-2, 2, -1		-2	-2
13	13	1/4	1/4	4/4	4	1		V/IV		g	i		V/IV	V				IV			M	1	1	0, 4, 1		0	0
13	13	1/2	1/2	4/4	4	1		IV\\		g	i		IV	IV						\\	M	1	1	-1, 3, 0		-1	-1
14	14	0	0	4/4	4	1		V6/v		g	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
15	15	0	0	4/4	4	1		v		g	i		v	v							m	1	1	1, -2, 2		1	1
17	17	0	0	4/4	4	1		iv6/v		g	i		iv6/v	iv		6		v			m	1	1	-3, 1, 0		0	-3
18	18	0	0	4/4	4	1		V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
19	19	0	0	3/2	4	1		v		g	i		v	v							m	1	1	1, -2, 2		1	1
19	19	1	1	3/2	4	1		III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
20	20	0	0	3/2	4	1		VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
20	20	1	1	3/2	4	1		V		g	i		V	V							M	1	1	1, 5, 2		1	1
21	21	0	0	3/2	4	1		i		g	i		i	i							m	1	1	0, -3, 1		0	0
21	21	1	1	3/2	4	1		V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
22	22	0	0	3/2	4	1		i\\		g	i		i	i						\\	m	1	1	0, -3, 1		0	0
23	23	1/4	1/4	4/4	4	1		III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
24	24	0	0	4/4	4	1		#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
24	24	1/2	1/2	4/4	4	1		I		g	i		I	I							M	1	1	0, 4, 1		0	0
25	25	1/4	1/4	4/4	4	1		IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
26	26	0	0	4/4	4	1		#viio6/ii		g	i		#viio6/ii	#vii	o	6		ii			o	1	1	4, 1, 7		7	4
26	26	1/2	1/2	4/4	4	1		V/V		g	i		V/V	V				V			M	1	1	2, 6, 3		2	2
27	27	0	0	4/4	4	1		V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
27	27	1/4	1/4	4/4	4	1		V		g	i		V	V							M	1	1	1, 5, 2		1	1
27	27	1/2	1/2	4/4	4	1		V/IV		g	i		V/IV	V				IV			M	1	1	0, 4, 1		0	0
27	27	3/4	3/4	4/4	4	1		V6/VII		g	i		V6/VII	V		6		VII			M	1	1	3, 0, -1		-1	3
28	28	0	0	4/4	4	1		V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
28	28	1/4	1/4	4/4	4	1		V/III		g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
28	28	1/2	1/2	4/4	4	1		iii/III		g	i		iii/III	iii				III			m	1	1	1, -2, 2		1	1
28	28	3/4	3/4	4/4	4	1		III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
29	29	1/4	1/4	4/4	4	1		V/III		g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
29	29	1/2	1/2	4/4	4	1		III\\		g	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
30	30	0	0	4/4	4	1		v	V	g	i		v	v							m	1	1	1, -2, 2		1	1
31	31	0	0	4/4	4	1		V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
31	31	1/2	1/2	4/4	4	1		i		g	i		i	i							m	1	1	0, -3, 1		0	0
31	31	3/4	3/4	4/4	4	1		I6		g	i		I6	I		6					M	1	1	4, 1, 0		0	4
32	32	0	0	4/4	4	1		V		g	i		V	V							M	1	1	1, 5, 2		1	1
32	32	1/2	1/2	4/4	4	1		V(64)		g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
32	32	3/4	3/4	4/4	4	1		V(#64)		g	i		V(#64)	V			#64				M	1	1	1, 0, 2	4	1	1
33	33	0	0	4/4	4	1		V		g	i		V	V							M	1	1	1, 5, 2		1	1
33	33	1/2	1/2	4/4	4	1		i		g	i		i	i							m	1	1	0, -3, 1		0	0
33	33	3/4	3/4	4/4	4	1		iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
34	34	0	0	4/4	4	1		#viio6(2)		g	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
