mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1		G.I		G	I		I	I							M	0	0	0, 4, 1		0	0
2	2	1/2	1/2	4/4	3	1		vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	0	0	4/4	3	1		bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
4	4	0	0	4/4	3	1		V		G	I		V	V							M	0	0	1, 5, 2		1	1
4	4	1/2	1/2	4/4	3	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	3	1		V6(4)		G	I		V6(4)	V		6	4				M	0	0	0, 2, 1		1	0
5	5	1/2	1/2	4/4	3	1		V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	0	0	4/4	3	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	1/2	1/2	4/4	3	1		vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	0	0	4/4	3	1		ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	1/2	1/2	4/4	3	1		bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
8	8	0	0	4/4	3	1		V		G	I		V	V							M	0	0	1, 5, 2		1	1
8	8	1/2	1/2	4/4	3	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
9	9	0	0	4/4	3	1		V\\		G	I		V	V						\\	M	0	0	1, 5, 2		1	1
10	10	0	0	4/4	3	1		IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	1/4	1/4	4/4	3	1		V2		G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	1/2	1/2	4/4	3	1		I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	3/4	3/4	4/4	3	1		ii	viio6	G	I		ii	ii							m	0	0	2, -1, 3		2	2
11	11	0	0	4/4	3	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	11	1/2	1/2	4/4	3	1		ii	viio6	G	I		ii	ii							m	0	0	2, -1, 3		2	2
11	11	3/4	3/4	4/4	3	1		I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	0	0	4/4	3	1		ii6	ii65	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	12	1/2	1/2	4/4	3	1		V		G	I		V	V							M	0	0	1, 5, 2		1	1
13	13	0	0	4/4	3	1		vi\\		G	I		vi	vi						\\	m	0	0	3, 0, 4		3	3
14	14	0	0	4/4	3	1		v		G	I		v	v							m	0	0	1, -2, 2		1	1
15	15	0	0	4/4	3	1		V/v		G	I		V/v	V				v			M	0	0	2, 6, 3		2	2
16	16	0	0	4/4	3	1		v		G	I		v	v							m	0	0	1, -2, 2		1	1
16	16	1/2	1/2	4/4	3	1		i		G	I		i	i							m	0	0	0, -3, 1		0	0
17	17	0	0	4/4	3	1		V		G	I		V	V							M	0	0	1, 5, 2		1	1
18	18	0	0	4/4	3	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
19	19	0	0	4/4	3	1		vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
19	19	1/2	1/2	4/4	3	1		ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
20	20	0	0	4/4	3	1		bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
20	20	1/2	1/2	4/4	3	1		v		G	I		v	v							m	0	0	1, -2, 2		1	1
21	21	0	0	4/4	3	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
21	21	1/2	1/2	4/4	3	1		vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
22	22	0	0	4/4	3	1		V		G	I		V	V							M	0	0	1, 5, 2		1	1
23	23	0	0	4/4	3	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
24	24	0	0	4/4	3	1		vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
24	24	1/2	1/2	4/4	3	1		ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
25	25	0	0	4/4	3	1		bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
25	25	1/2	1/2	4/4	3	1		v		G	I		v	v							m	0	0	1, -2, 2		1	1
26	26	0	0	4/4	3	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
27	27	0	0	4/4	3	1		V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
27	27	1/2	1/2	4/4	3	1		V		G	I		V	V							M	0	0	1, 5, 2		1	1
