mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	6.0	0	0	2/2	2	1	g.VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	2	6	2.0	1/2	1/2	2/2	2	1	IV6/VII		g	i		IV6/VII	IV		6		VII			M	1	1	1, -2, -3		-3	1
3	3	8	2.0	0	0	2/2	2	1	V7/VII		g	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
3	3	10	2.0	1/2	1/2	2/2	2	1	V(b64)/VII		g	i		V(b64)/VII	V			b64	VII			M	1	1	-1, -2, -5		-1	-1
4	4	12	2.0	0	0	2/2	2	1	V(4)/VII		g	i		V(4)/VII	V			4	VII			M	1	1	-1, -2, 0		-1	-1
4	4	14	2.0	1/2	1/2	2/2	2	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
5	5	16	6.0	0	0	2/2	2	1	VII\\		g	i		VII	VII						\\	M	1	1	-2, 2, -1		-2	-2
6	6	22	2.0	1/2	1/2	2/2	2	1	iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	24	2.0	0	0	2/2	2	1	V7		g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	26	2.0	1/2	1/2	2/2	2	1	V(64)		g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
8	8	28	2.0	0	0	2/2	2	1	V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
8	8	30	2.0	1/2	1/2	2/2	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
9	9	32	6.0	0	0	2/2	2	1	i\\		g	i		i	i						\\	m	1	1	0, -3, 1		0	0
10	10	38	2.0	1/2	1/2	2/2	2	1	iv6/ii		g	i		iv6/ii	iv		6		ii			m	1	1	-2, 2, 1		1	-2
11	11	40	2.0	0	0	2/2	2	1	V7/ii		g	i		V7/ii	V		7		ii			Mm7	1	1	3, 7, 4, 1		3	3
11	11	42	2.0	1/2	1/2	2/2	2	1	V(64)/ii		g	i		V(64)/ii	V			64	ii			M	1	1	3, 2, -1		3	3
12	12	44	2.0	0	0	2/2	2	1	V(4)/ii		g	i		V(4)/ii	V			4	ii			M	1	1	3, 2, 4		3	3
12	12	46	2.0	1/2	1/2	2/2	2	1	V/ii		g	i		V/ii	V				ii			M	1	1	3, 7, 4		3	3
13	13	48	2.0	0	0	2/2	2	1	ii\\		g	i		ii	ii						\\	m	1	1	2, -1, 3		2	2
13	13	50	2.0	1/2	1/2	2/2	2	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
14	14	52	2.0	0	0	2/2	2	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
14	14	54	2.0	1/2	1/2	2/2	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
15	15	56	2.0	0	0	2/2	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
15	15	58	1.5	1/2	1/2	2/2	2	1	iv6(2)/v		g	i		iv6(2)/v	iv		6	2	v			m	1	1	-3, 1, 2		0	-3
15	15	119/2	0.5	7/8	7/8	2/2	2	1	iv6/v		g	i		iv6/v	iv		6		v			m	1	1	-3, 1, 0		0	-3
16	16	60	4.0	0	0	2/2	2	1	V/v\\		g	i		V/v	V				v		\\	M	1	1	2, 6, 3		2	2
17	17	64	2.0	0	0	2/2	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
17	17	66	4.0	1/2	1/2	2/2	2	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
18	18	70	1.0	1/2	1/2	2/2	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
18	18	71	1.0	3/4	3/4	2/2	2	1	VI	iv6	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
19	19	72	2.0	0	0	2/2	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
19	19	74	4.0	1/2	1/2	2/2	2	1	I\\		g	i		I	I						\\	M	1	1	0, 4, 1		0	0
20	20	78	2.0	1/2	1/2	2/2	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
21	21	80	2.0	0	0	2/2	2	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
21	21	82	2.0	1/2	1/2	2/2	2	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
22	22	84	2.0	0	0	2/2	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
22	22	86	3.0	1/2	1/2	2/2	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
23	23	89	1.0	1/4	1/4	2/2	2	1	VI	iv6	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
23	23	90	2.0	1/2	1/2	2/2	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
24	24	92	3.0	0	0	2/2	2	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
24	24	95	1.0	3/4	3/4	2/2	2	1	V6/VII		g	i		V6/VII	V		6		VII			M	1	1	3, 0, -1		-1	3
25	25	96	3.0	0	0	2/2	2	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
25	25	99	1.0	3/4	3/4	2/2	2	1	vi/VII	IV6/VII	g	i		vi/VII	vi				VII			m	1	1	1, -2, 2		1	1
26	26	100	2.0	0	0	2/2	2	1	IV/VII		g	i		IV/VII	IV				VII			M	1	1	-3, 1, -2		-3	-3
26	26	102	2.0	1/2	1/2	2/2	2	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
27	27	104	7.0	0	0	2/2	2	1	VII\\		g	i		VII	VII						\\	M	1	1	-2, 2, -1		-2	-2
28	28	111	1.0	3/4	3/4	2/2	2	1	v6		g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
29	29	112	1.0	0	0	2/2	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
29	29	113	2.0	1/4	1/4	2/2	2	1	VI6		g	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
29	29	115	1.0	3/4	3/4	2/2	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
30	30	116	3.0	0	0	2/2	2	1	ii		g	i		ii	ii							m	1	1	2, -1, 3		2	2
30	30	119	2.0	3/4	3/4	2/2	2	1	V6/III		g	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
31	31	121	1.0	1/4	1/4	2/2	2	1	viio/III		g	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
31	31	122	2.0	1/2	1/2	2/2	2	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
32	32	124	1.0	0	0	2/2	2	1	ii6/III		g	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
32	32	125	1.0	1/4	1/4	2/2	2	1	V/III		g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
32	32	126	1.0	1/2	1/2	2/2	2	1	ii64/III		g	i		ii64/III	ii		64		III			m	1	1	0, -1, -4		-1	0
32	32	127	1.0	3/4	3/4	2/2	2	1	ii6/III		g	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
33	33	128	2.0	0	0	2/2	2	1	V/III		g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
33	33	130	2.0	1/2	1/2	2/2	2	1	III\\		g	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
34	34	132	10.0	0	0	2/2	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
36	36	142	2.0	1/2	1/2	2/2	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
37	37	144	1.0	0	0	2/2	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
37	37	145	1.0	1/4	1/4	2/2	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
37	37	146	1.0	1/2	1/2	2/2	2	1	v6		g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
37	37	147	1.0	3/4	3/4	2/2	2	1	ii		g	i		ii	ii							m	1	1	2, -1, 3		2	2
38	38	148	1.0	0	0	2/2	2	1	IV6		g	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
38	38	149	1.0	1/4	1/4	2/2	2	1	V6/v		g	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
38	38	150	2.0	1/2	1/2	2/2	2	1	V/ii		g	i		V/ii	V				ii			M	1	1	3, 7, 4		3	3
39	39	152	2.0	0	0	2/2	2	1	ii		g	i		ii	ii							m	1	1	2, -1, 3		2	2
39	39	154	1.0	1/2	1/2	2/2	2	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
39	39	155	1.0	3/4	3/4	2/2	2	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
40	40	156	1.0	0	0	2/2	2	1	V7/v		g	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
40	40	157	1.0	1/4	1/4	2/2	2	1	V(64)/v		g	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
40	40	158	1.0	1/2	1/2	2/2	2	1	V(4)/v		g	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
40	40	159	1.0	3/4	3/4	2/2	2	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
41	41	160	4.0	0	0	2/2	2	1	v\\	V\\	g	i		v	v						\\	m	1	1	1, -2, 2		1	1
42	42	164	4.0	0	0	2/2	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
43	43	168	2.0	0	0	2/2	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
43	43	170	8.0	1/2	1/2	2/2	2	1	i\\		g	i		i	i						\\	m	1	1	0, -3, 1		0	0
45	45	178	2.0	1/2	1/2	2/2	2	1	V/IV		g	i		V/IV	V				IV			M	1	1	0, 4, 1		0	0
46	46	180	2.0	0	0	2/2	2	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
46	46	182	2.0	1/2	1/2	2/2	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
47	47	184	2.0	0	0	2/2	2	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
47	47	186	3.0	1/2	1/2	2/2	2	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
48	48	189	1.0	1/4	1/4	2/2	2	1	VII64		g	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
48	48	190	1.0	1/2	1/2	2/2	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
48	48	191	1.0	3/4	3/4	2/2	2	1	V(64)		g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
49	49	192	1.0	0	0	2/2	2	1	V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
49	49	193	1.0	1/4	1/4	2/2	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
49	49	194	2.0	1/2	1/2	2/2	2	1	i\\	I\\	g	i		i	i						\\	m	1	1	0, -3, 1		0	0
50	50	196	8.0	0	0	2/2	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
52	52	204	3.0	0	0	2/2	2	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
52	52	207	1.0	3/4	3/4	2/2	2	1	I64		g	i		I64	I		64					M	1	1	1, 0, 4		0	1
53	53	208	1.0	0	0	2/2	2	1	V/ii		g	i		V/ii	V				ii			M	1	1	3, 7, 4		3	3
53	53	209	1.0	1/4	1/4	2/2	2	1	V(64)/ii		g	i		V(64)/ii	V			64	ii			M	1	1	3, 2, -1		3	3
53	53	210	1.0	1/2	1/2	2/2	2	1	V(4)/ii		g	i		V(4)/ii	V			4	ii			M	1	1	3, 2, 4		3	3
53	53	211	1.0	3/4	3/4	2/2	2	1	V/ii		g	i		V/ii	V				ii			M	1	1	3, 7, 4		3	3
54	54	212	4.0	0	0	2/2	2	1	ii\\		g	i		ii	ii						\\	m	1	1	2, -1, 3		2	2
55	55	216	9.5	0	0	2/2	2	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
57	57	451/2	0.5	3/8	3/8	2/2	2	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
57	57	226	1.0	1/2	1/2	2/2	2	1	ii6		g	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
57	57	227	1.0	3/4	3/4	2/2	2	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
58	58	228	4.0	0	0	2/2	2	1	V\\		g	i		V	V						\\	M	1	1	1, 5, 2		1	1
59	59	232	8.0	0	0	2/2	2	1	V6/v		g	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
61	61	240	1.0	0	0	2/2	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
61	61	241	1.0	1/4	1/4	2/2	2	1	VII64		g	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
