mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6.0	0	0	4/4	3	1	G.I		G	I		I	I							M	0	0	0, 4, 1		0	0
2	2	6	6	2.0	1/2	1/2	4/4	3	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	8	8	4.0	0	0	4/4	3	1	bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
4	4	12	12	2.0	0	0	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
4	4	14	14	2.0	1/2	1/2	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
5	5	16	16	2.0	0	0	4/4	3	1	V6(4)		G	I		V6(4)	V		6	4				M	0	0	0, 2, 1		1	0
5	5	18	18	2.0	1/2	1/2	4/4	3	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	20	20	2.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	22	22	2.0	1/2	1/2	4/4	3	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	24	24	2.0	0	0	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	26	26	2.0	1/2	1/2	4/4	3	1	bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
8	8	28	28	2.0	0	0	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
8	8	30	30	2.0	1/2	1/2	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
9	9	32	32	4.0	0	0	4/4	3	1	V\\		G	I		V	V						\\	M	0	0	1, 5, 2		1	1
10	10	36	36	1.0	0	0	4/4	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	37	37	1.0	1/4	1/4	4/4	3	1	V2		G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	38	38	1.0	1/2	1/2	4/4	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	39	39	1.0	3/4	3/4	4/4	3	1	ii	viio6	G	I		ii	ii							m	0	0	2, -1, 3		2	2
11	11	40	40	2.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	11	42	42	1.0	1/2	1/2	4/4	3	1	ii	viio6	G	I		ii	ii							m	0	0	2, -1, 3		2	2
11	11	43	43	1.0	3/4	3/4	4/4	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	44	44	2.0	0	0	4/4	3	1	ii6	ii65	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	12	46	46	2.0	1/2	1/2	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
13	13	48	48	4.0	0	0	4/4	3	1	vi\\		G	I		vi	vi						\\	m	0	0	3, 0, 4		3	3
14	14	52	52	4.0	0	0	4/4	3	1	v		G	I		v	v							m	0	0	1, -2, 2		1	1
15	15	56	56	4.0	0	0	4/4	3	1	V/v		G	I		V/v	V				v			M	0	0	2, 6, 3		2	2
16	16	60	60	2.0	0	0	4/4	3	1	v		G	I		v	v							m	0	0	1, -2, 2		1	1
16	16	62	62	2.0	1/2	1/2	4/4	3	1	i		G	I		i	i							m	0	0	0, -3, 1		0	0
17	17	64	64	4.0	0	0	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
18	18	68	68	4.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
19	19	72	72	2.0	0	0	4/4	3	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
19	19	74	74	2.0	1/2	1/2	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
20	20	76	76	2.0	0	0	4/4	3	1	bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
20	20	78	78	2.0	1/2	1/2	4/4	3	1	v		G	I		v	v							m	0	0	1, -2, 2		1	1
21	21	80	80	2.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
21	21	82	82	2.0	1/2	1/2	4/4	3	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
22	22	84	84	4.0	0	0	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
23	23	88	88	4.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
24	24	92	92	2.0	0	0	4/4	3	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
24	24	94	94	2.0	1/2	1/2	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
25	25	96	96	2.0	0	0	4/4	3	1	bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
25	25	98	98	2.0	1/2	1/2	4/4	3	1	v		G	I		v	v							m	0	0	1, -2, 2		1	1
26	26	100	100	4.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
27	27	104	104	2.0	0	0	4/4	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
27	27	106	106	2.0	1/2	1/2	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
28	28	108	108	2.0	0	0	4/4	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
28	28	110	110	1.0	1/2	1/2	4/4	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
28	28	111	111	1.0	3/4	3/4	4/4	3	1	viio6(+2)		G	I		viio6(+2)	vii	o	6	+2				o	0	0	2, -1, 5	0	5	2
29	29	112	112	4.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
30	30	116	116	2.0	0	0	4/4	3	1	ii6	ii65	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
30	30	118	118	2.0	1/2	1/2	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
31	31	120	120	4.0	0	0	4/4	3	1	I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0	0
32	32	124	124	4.0	0	0	4/4	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
33	33	128	128	2.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
33	33	130	130	1.0	1/2	1/2	4/4	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
33	33	131	131	1.0	3/4	3/4	4/4	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
34	34	132	132	2.0	0	0	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
34	34	134	134	2.0	1/2	1/2	4/4	3	1	vi	IV6	G	I		vi	vi							m	0	0	3, 0, 4		3	3
35	35	136	136	2.0	0	0	4/4	3	1	IV	ii65	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
35	35	138	138	2.0	1/2	1/2	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
36	36	140	140	4.0	0	0	4/4	3	1	I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0	0
37	37	144	144	4.0	0	0	4/4	3	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
38	38	148	148	2.0	0	0	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
38	38	150	150	2.0	1/2	1/2	4/4	3	1	iv6/ii		G	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
39	39	152	152	4.0	0	0	4/4	3	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
40	40	156	156	1.0	0	0	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
40	40	157	157	1.0	1/4	1/4	4/4	3	1	V6/ii		G	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
40	40	158	158	1.0	1/2	1/2	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
40	40	159	159	1.0	3/4	3/4	4/4	3	1	IV/IV		G	I		IV/IV	IV				IV			M	0	0	-2, 2, -1		-2	-2
41	41	160	160	1.0	0	0	4/4	3	1	V(4)/IV		G	I		V(4)/IV	V			4	IV			M	0	0	0, -1, 1		0	0
41	41	161	161	1.0	1/4	1/4	4/4	3	1	V/IV		G	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
41	41	162	162	2.0	1/2	1/2	4/4	3	1	IV\\		G	I		IV	IV						\\	M	0	0	-1, 3, 0		-1	-1
42	42	164	164	4.0	0	0	4/4	3	1	vi	V/ii	G	I		vi	vi							m	0	0	3, 0, 4		3	3
43	43	168	168	2.0	0	0	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
43	43	170	170	2.0	1/2	1/2	4/4	3	1	iv6/ii		G	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
44	44	172	172	4.0	0	0	4/4	3	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
45	45	176	176	1.0	0	0	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
45	45	177	177	1.0	1/4	1/4	4/4	3	1	V6/ii		G	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
45	45	178	178	1.0	1/2	1/2	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
45	45	179	179	1.0	3/4	3/4	4/4	3	1	bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
46	46	180	180	1.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
46	46	181	181	1.0	1/4	1/4	4/4	3	1	VI/v	iv6/v	G	I		VI/v	VI				v			M	0	0	-3, 1, -2		-3	-3
46	46	182	182	1.0	1/2	1/2	4/4	3	1	V(4)/v		G	I		V(4)/v	V			4	v			M	0	0	2, 1, 3		2	2
46	46	183	183	1.0	3/4	3/4	4/4	3	1	V/v		G	I		V/v	V				v			M	0	0	2, 6, 3		2	2
47	47	184	184	7.0	0	0	4/4	3	1	v\\	V\\	G	I		v	v						\\	m	0	0	1, -2, 2		1	1
48	48	191	191	1.0	3/4	3/4	4/4	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
49	49	192	192	2.0	0	0	4/4	3	1	ii	viio6	G	I		ii	ii							m	0	0	2, -1, 3		2	2
49	49	194	194	2.0	1/2	1/2	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
50	50	196	196	2.0	0	0	4/4	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
50	50	198	198	2.0	1/2	1/2	4/4	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
51	51	200	200	4.0	0	0	4/4	3	1	I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0	0
52	52	204	204	4.0	0	0	4/4	3	1	v	V	G	I		v	v							m	0	0	1, -2, 2		1	1
53	53	208	208	3.0	0	0	4/4	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
53	53	211	211	1.0	3/4	3/4	4/4	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
54	54	212	212	2.0	0	0	4/4	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
54	54	214	214	2.0	1/2	1/2	4/4	3	1	bVII		G	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
55	55	216	216	2.0	0	0	4/4	3	1	iv6(2)/v		G	I		iv6(2)/v	iv		6	2	v			m	0	0	-3, 1, 2		0	-3
55	55	218	218	2.0	1/2	1/2	4/4	3	1	iv6/v		G	I		iv6/v	iv		6		v			m	0	0	-3, 1, 0		0	-3
56	56	220	220	6.0	0	0	4/4	3	1	V/v\\		G	I		V/v	V				v		\\	M	0	0	2, 6, 3		2	2
57	57	226	226	2.0	1/2	1/2	4/4	3	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
58	58	228	228	1.0	0	0	4/4	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
58	58	229	229	1.0	1/4	1/4	4/4	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
58	58	230	230	1.0	1/2	1/2	4/4	3	1	V(4)/IV		G	I		V(4)/IV	V			4	IV			M	0	0	0, -1, 1		0	0
58	58	231	231	81.0	3/4	3/4	4/4	3	1	V/IV		G	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
