mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1	3/2	5	1		F.I		F	I		I	I							M	0	0	0, 4, 1		0	0
3	3	0	0	3/2	5	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	1	1	3/2	5	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	0	0	3/2	5	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	5	0	0	3/2	5	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
6	6	1	1	3/2	5	1		iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
7	7	0	0	3/2	5	1		ii6/V		F	I		ii6/V	ii		6		V			m	0	0	0, 4, 3		3	0
7	7	1	1	3/2	5	1		V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
8	8	1/2	1/2	3/2	5	1		viio6(2)/V		F	I		viio6(2)/V	vii	o	6	2	V			o	0	0	3, 0, 1		6	3
8	8	1	1	3/2	5	1		viio6/V		F	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
9	9	0	0	3/2	5	1		V\\		F	I		V	V						\\	M	0	0	1, 5, 2		1	1
11	11	0	0	3/2	5	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
11	11	1	1	3/2	5	1		V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	0	0	3/2	5	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
13	13	0	0	3/2	5	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	1	1	3/2	5	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	0	0	3/2	5	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	15	0	0	3/2	5	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
16	16	0	0	3/2	5	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
16	16	1	1	3/2	5	1		ii/V		F	I		ii/V	ii				V			m	0	0	3, 0, 4		3	3
17	17	0	0	3/2	5	1		V/V		F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
17	17	1	1	3/2	5	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
18	18	1/2	1/2	3/2	5	1		V/V		F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
