mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/2	3	1		g.i		g	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1	1	3/2	3	1		#vio6		g	i		#vio6	#vi	o	6					o	1	1	0, -3, 3		3	0
2	2	0	0	3/2	3	1		v		g	i		v	v							m	1	1	1, -2, 2		1	1
2	2	1/2	1/2	3/2	3	1		VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
2	2	1	1	3/2	3	1		v6		g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
3	3	0	0	3/2	3	1		iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	1/2	1/2	3/2	3	1		VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
3	3	1	1	3/2	3	1		iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	0	0	3/2	3	1		III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
4	4	1	1	3/2	3	1		iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	5	0	0	3/2	3	1		III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
5	5	1/2	1/2	3/2	3	1		VI	iv6	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	0	0	3/2	3	1		V		g	i		V	V							M	1	1	1, 5, 2		1	1
6	6	1	1	3/2	3	1		V(+6)		g	i		V(+6)	V			+6				M	1	1	1, 5, 2	-3	1	1
7	7	0	0	3/2	3	1		ii		g	i		ii	ii							m	1	1	2, -1, 3		2	2
7	7	1/2	1/2	3/2	3	1		IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
7	7	1	1	3/2	3	1		ii6		g	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
8	8	0	0	3/2	3	1		i		g	i		i	i							m	1	1	0, -3, 1		0	0
8	8	1/2	1/2	3/2	3	1		III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
8	8	1	1	3/2	3	1		i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
