mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		d.i		d	i		i	i							m	1	1	0, -3, 1		0	0
4	4	0	0	4/4	2	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
5	5	1/2	1/2	4/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	0	0	4/4	2	1		I		d	i		I	I							M	1	1	0, 4, 1		0	0
7	7	0	0	4/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
8	8	0	0	4/4	2	1		ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
8	8	1/2	1/2	4/4	2	1		IV7		d	i		IV7	IV		7					Mm7	1	1	-1, 3, 0, -3		-1	-1
9	9	0	0	4/4	2	1		V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
9	9	1/2	1/2	4/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
10	10	0	0	4/4	2	1		I\\		d	i		I	I						\\	M	1	1	0, 4, 1		0	0
11	11	0	0	4/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
14	14	0	0	4/4	2	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
15	15	0	0	4/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	15	1/2	1/2	4/4	2	1		iv7		d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
16	16	0	0	4/4	2	1		V\\		d	i		V	V						\\	M	1	1	1, 5, 2		1	1
17	17	0	0	4/4	2	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
18	18	1/2	1/2	4/4	2	1		viio6/IV		d	i		viio6/IV	vii	o	6		IV			o	1	1	1, -2, 4		4	1
19	19	0	0	4/4	2	1		II		d	i		II	II							M	1	1	2, 6, 3		2	2
20	20	0	0	4/4	2	1		ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
21	21	0	0	4/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
21	21	1/2	1/2	4/4	2	1		IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
21	21	3/4	3/4	4/4	2	1		V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
21	21	7/8	7/8	4/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
22	22	0	0	4/4	2	1		I\\		d	i		I	I						\\	M	1	1	0, 4, 1		0	0
