mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	F.I		F	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	4/4	2	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
1	1	1/2	1/2	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
1	1	3/4	3/4	4/4	2	1	ii	viio6	F	I		ii	ii							m	0	0	2, -1, 3		2	2
2	2	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	4/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	2	1/2	1/2	4/4	2	1	bVII		F	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
2	2	3/4	3/4	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
3	3	0	0	4/4	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
3	3	3/4	3/4	4/4	2	1	V6/V		F	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
4	4	0	0	4/4	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
4	4	1/4	1/4	4/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	1/2	1/2	4/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	3/4	3/4	4/4	2	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
5	5	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	4/4	2	1	IV/IV		F	I		IV/IV	IV				IV			M	0	0	-2, 2, -1		-2	-2
5	5	1/2	1/2	4/4	2	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
6	6	0	0	4/4	2	1	IV/IV		F	I		IV/IV	IV				IV			M	0	0	-2, 2, -1		-2	-2
6	6	1/4	1/4	4/4	2	1	ii6/IV		F	I		ii6/IV	ii		6		IV			m	0	0	-2, 2, 1		1	-2
6	6	1/2	1/2	4/4	2	1	ii/IV	viio6/IV	F	I		ii/IV	ii				IV			m	0	0	1, -2, 2		1	1
6	6	3/4	3/4	4/4	2	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
7	7	0	0	4/4	2	1	ii6/IV		F	I		ii6/IV	ii		6		IV			m	0	0	-2, 2, 1		1	-2
7	7	1/4	1/4	4/4	2	1	V/IV		F	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
7	7	1/2	1/2	4/4	2	1	IV\\		F	I		IV	IV						\\	M	0	0	-1, 3, 0		-1	-1
7	7	3/4	3/4	4/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	0	0	4/4	2	1	ii	viio6	F	I		ii	ii							m	0	0	2, -1, 3		2	2
8	8	1/4	1/4	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
8	8	1/2	1/2	4/4	2	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	9	0	0	4/4	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
9	9	1/4	1/4	4/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
9	9	1/2	1/2	4/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	3/4	3/4	4/4	2	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
10	10	0	0	4/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
10	10	1/4	1/4	4/4	2	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	10	1/2	1/2	4/4	2	1	vi	IV6	F	I		vi	vi							m	0	0	3, 0, 4		3	3
10	10	3/4	3/4	4/4	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
11	11	0	0	4/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	1/4	1/4	4/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	1/2	1/2	4/4	2	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
11	11	3/4	3/4	4/4	2	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
12	12	0	0	4/4	2	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	12	1/4	1/4	4/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	1/2	1/2	4/4	2	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
12	12	3/4	3/4	4/4	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
13	13	0	0	4/4	2	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
