mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
105	105	417	417	1.0	1/4	1/4	4/4	6	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
105	105	418	418	2.0	1/2	1/2	4/4	6	1	V/III		g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
106	106	420	420	6.0	0	0	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
107	107	426	426	4.0	1/2	1/2	4/4	6	1	V/III		g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
108	108	430	430	1.0	1/2	1/2	4/4	6	1	ii		g	i		ii	ii							m	1	1	2, -1, 3		2	2
108	108	431	431	1.0	3/4	3/4	4/4	6	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
109	109	432	432	2.0	0	0	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
109	109	434	434	2.0	1/2	1/2	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	1, 5, 2		1	1
110	110	436	436	1.0	0	0	4/4	6	1	I		g	i		I	I							M	1	1	0, 4, 1		0	0
110	110	437	437	1.0	1/4	1/4	4/4	6	1	IV6		g	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
110	110	438	438	2.0	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
111	111	440	440	1.0	0	0	4/4	6	1	III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
111	111	441	441	1.0	1/4	1/4	4/4	6	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
111	111	442	442	1.0	1/2	1/2	4/4	6	1	iio6	ii6	g	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
111	111	443	443	1.0	3/4	3/4	4/4	6	1	v	V	g	i		v	v							m	1	1	1, -2, 2		1	1
112	112	444	444	1.0	0	0	4/4	6	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
112	112	445	445	1.0	1/4	1/4	4/4	6	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
112	112	446	446	1.0	1/2	1/2	4/4	6	1	V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
112	112	447	447	1.0	3/4	3/4	4/4	6	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
113	113	448	448	4.0	0	0	4/4	6	1	i\\		g	i		i	i						\\	m	1	1	0, -3, 1		0	0
114	114	452	452	2.0	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
114	114	454	454	2.0	1/2	1/2	4/4	6	1	iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
115	115	456	456	2.0	0	0	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	1, 5, 2		1	1
115	115	458	458	2.0	1/2	1/2	4/4	6	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
116	116	460	460	2.0	0	0	4/4	6	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
116	116	462	462	2.0	1/2	1/2	4/4	6	1	iv6/v		g	i		iv6/v	iv		6		v			m	1	1	-3, 1, 0		0	-3
117	117	464	464	2.0	0	0	4/4	6	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
117	117	466	466	2.0	1/2	1/2	4/4	6	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
118	118	468	468	1.0	0	0	4/4	6	1	V(4)/v		g	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
118	118	469	469	1.0	1/4	1/4	4/4	6	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
118	118	470	470	2.0	1/2	1/2	4/4	6	1	v\\	V\\	g	i		v	v						\\	m	1	1	1, -2, 2		1	1
119	119	472	472	1.5	0	0	4/4	6	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
119	119	947/2	947/2	0.5	3/8	3/8	4/4	6	1	#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
119	119	474	474	2.0	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
120	120	476	476	4.0	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
121	121	480	480	2.0	0	0	4/4	6	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
121	121	482	482	2.0	1/2	1/2	4/4	6	1	III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
122	122	484	484	4.0	0	0	4/4	6	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
123	123	488	488	2.0	0	0	4/4	6	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
123	123	490	490	2.0	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
124	124	492	492	1.0	0	0	4/4	6	1	iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
124	124	493	493	1.0	1/4	1/4	4/4	6	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
124	124	494	494	2.0	1/2	1/2	4/4	6	1	III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
125	125	496	496	4.0	0	0	4/4	6	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
126	126	500	500	1.0	0	0	4/4	6	1	V(4)/iv		g	i		V(4)/iv	V			4	iv			M	1	1	0, -1, 1		0	0
126	126	501	501	1.0	1/4	1/4	4/4	6	1	V/iv		g	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
126	126	502	502	1.0	1/2	1/2	4/4	6	1	IV\\		g	i		IV	IV						\\	M	1	1	-1, 3, 0		-1	-1
126	126	503	503	1.0	3/4	3/4	4/4	6	1	ii		g	i		ii	ii							m	1	1	2, -1, 3		2	2
127	127	504	504	1.5	0	0	4/4	6	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
127	127	1011/2	1011/2	0.5	3/8	3/8	4/4	6	1	v6/v		g	i		v6/v	v		6		v			m	1	1	-1, 3, 2		2	-1
127	127	506	506	1.0	1/2	1/2	4/4	6	1	iv6(2)/v		g	i		iv6(2)/v	iv		6	2	v			m	1	1	-3, 1, 2		0	-3
127	127	507	507	1.0	3/4	3/4	4/4	6	1	iv6/v		g	i		iv6/v	iv		6		v			m	1	1	-3, 1, 0		0	-3
128	128	508	508	2.0	0	0	4/4	6	1	V(64)/v		g	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
128	128	510	510	2.0	1/2	1/2	4/4	6	1	V/v\\		g	i		V/v	V				v		\\	M	1	1	2, 6, 3		2	2
129	129	512	512	4.0	0	0	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
130	130	516	516	2.0	0	0	4/4	6	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
130	130	518	518	3.0	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
131	131	521	521	1.0	1/4	1/4	4/4	6	1	iv7/v		g	i		iv7/v	iv		7		v			mm7	1	1	0, -3, 1, -2		0	0
131	131	522	522	1.0	1/2	1/2	4/4	6	1	V(4)/v		g	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
131	131	523	523	1.0	3/4	3/4	4/4	6	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
132	132	524	524	2.0	0	0	4/4	6	1	v\\	V\\	g	i		v	v						\\	m	1	1	1, -2, 2		1	1
132	132	526	526	2.0	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
133	133	528	528	1.0	0	0	4/4	6	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
133	133	529	529	1.0	1/4	1/4	4/4	6	1	V(64)		g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
133	133	530	530	1.0	1/2	1/2	4/4	6	1	V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
133	133	531	531	1.0	3/4	3/4	4/4	6	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
134	134	532	532	2.0	0	0	4/4	6	1	i\\		g	i		i	i						\\	m	1	1	0, -3, 1		0	0
134	134	534	534	2.0	1/2	1/2	4/4	6	1	ii/iv		g	i		ii/iv	ii				iv			m	1	1	1, -2, 2		1	1
135	135	536	536	1.0	0	0	4/4	6	1	V7/iv		g	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
135	135	537	537	1.0	1/4	1/4	4/4	6	1	V(64)/iv		g	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
135	135	538	538	1.0	1/2	1/2	4/4	6	1	V(4)/IV		g	i		V(4)/IV	V			4	IV			M	1	1	0, -1, 1		0	0
135	135	539	539	1.0	3/4	3/4	4/4	6	1	V/IV		g	i		V/IV	V				IV			M	1	1	0, 4, 1		0	0
136	136	540	540	2.0	0	0	4/4	6	1	ii\\		g	i		ii	ii						\\	m	1	1	2, -1, 3		2	2
136	136	542	542	2.0	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
137	137	544	544	1.0	0	0	4/4	6	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
137	137	545	545	1.0	1/4	1/4	4/4	6	1	V(64)/VII		g	i		V(64)/VII	V			64	VII			M	1	1	-1, -2, 2		-1	-1
