rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	harmony_version	annotated_key	annotators	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument	staff_5_ambitus	staff_5_instrument	staff_6_ambitus	staff_6_instrument
MS3	op08n01swv282_Eile_mich,_Gott,_zu_erretten	68	68	1: 0	1: 4/4	84	2.1.1	d	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	38-79 (D2-G5)	1636	1636	capx	60-79 (C4-G5)	Soprano	38-52 (D2-E3)	Continuo								
MS3	op08n02swv283_Bringt_her_dem_Herren	89	89	1: 0	1: 2/2, 14: 3/2, 25: 2/2, 43: 3/2, 54: 2/2, 68: 3/2, 79: 2/2	176	2.1.1	C	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	41-74 (F2-D5)	1636	1636	capx	59-74 (B3-D5)	Soprano	41-60 (F2-C4)	Continuo								
MS3	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	114	114	1: -1	1: 2/2	237	2.1.1	g	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	39-70 (Eb2-Bb4)	1636	1636	capx	53-70 (F3-Bb4)	Alto	39-58 (Eb2-Bb3)	Continuo								
MS3	op08n04swv285_O_süsser,_o_freundlicher	108	108	1: -1	1: 4/4, 25: 3/2, 33: 4/4	193	2.1.1	g	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	38-67 (D2-G4)	1636	1636	capx	48-67 (C3-G4)	Tenor	38-62 (D2-D4)	Continuo								
MS3	op08n05swv286_Der_Herr_ist_gross	75	75	1: 0	1: 4/4	139	2.1.1	G	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	40-77 (E2-F5)	1636	1636	capx	60-76 (C4-E5)	Soprano I	60-77 (C4-F5)	Soprano II	40-57 (E2-A3)	Continuo						
MS3	op08n06swv287_O_lieber_Herre_Gott	97	97	1: -1	1: 4/4, 28: 3/2, 43: 4/4, 50: 3/2, 58: 4/4	199	2.1.1	g	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	41-77 (F2-F5)	1636	1636	capx	60-77 (C4-F5)	Soprano I	60-77 (C4-F5)	Soprano II	41-58 (F2-Bb3)	Continuo						
MS3	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	82	82	1: 1	1: 4/4	145	2.1.1	D	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	40-76 (E2-E5)	1636	1636	capx	61-76 (C#4-E5)	Soprano I	57-76 (A3-E5)	Soprano II	40-59 (E2-B3)	Continuo						
MS3	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	66	66	1: 1	1: 4/4	128	2.1.1	e	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	40-76 (E2-E5)	1636	1636	capx	62-76 (D4-E5)	Soprano I	61-76 (C#4-E5)	Soprano II	40-57 (E2-A3)	Continuo						
MS3	op08n09swv290_Wohl_dem,_der_nicht_wandelt_im_Rat_der_Gottlosen	134	134	1: -1	1: 3/2, 57: 2/2, 82: 3/2, 132: 2/2	242	2.1.1	g	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	38-77 (D2-F5)	1636	1636	capx	60-77 (C4-F5)	Soprano	55-70 (G3-Bb4)	Alto	38-60 (D2-C4)	Continuo						
MS3	op08n10swv291_Schaffe_in_mir,_Gott,_ein_reines_Herz	68	68	1: 0	1: 4/4, 59: 4/2	104	2.1.1	G	Adrian Nagel										7/10/2019	3.02	Linux			3.6.2	43-76 (G2-E5)	1636	1636	capx	61-76 (C#4-E5)	Soprano	48-65 (C3-F4)	Tenor	43-60 (G2-C4)	Continuo						
