mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	1/2	1/2	0.0	1/8	1/8	Tempo	2/2	1	1	0					𝅗𝅥=76	152.0	𝅗𝅥	76.0	0.0	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	0	Bringt						
1	1	1	1	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	1	her						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	2	dem						
1	1	2	2	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	3	Her-						
1	1	0	0	4.0	0	0	Chord	2/2	2	1	1	1	1	4							
2	2	4	4	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	5	ren,						
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	6	bringt						
2	2	5	5	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	7	her						
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	8	dem						
2	2	6	6	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	9	Her-						
2	2	4	4	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	10							
2	2	6	6	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	11							
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	12							
2	2	7	7	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	13							
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	14							
3	3	8	8	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	15	ren,						
3	3	17/2	17/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	16	bringt						
3	3	9	9	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	17	her						
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	18	dem						
3	3	10	10	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	19	Her-						
3	3	8	8	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	20							
3	3	10	10	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	21							
4	4	12	12	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	22							
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	23	ren,						
4	4	13	13	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	24	ihr						
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	25	Ge-						
4	4	14	14	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	26	wal-						
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	27	ti-						
4	4	12	12	4.0	0	0	Chord	2/2	2	1	1	1	1	28	              4						
5	5	16	16	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	29	gen,						
5	5	37/2	37/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	30	bringt						
5	5	19	19	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	31	her						
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	32	dem						
5	5	16	16	4.0	0	0	Chord	2/2	2	1	1	1	1	33							
6	6	20	20	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	34	Her-						
6	6	22	22	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	35	ren,						
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	36	bringt						
6	6	23	23	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	37	her						
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	38	dem						
6	6	20	20	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	39							
6	6	22	22	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	40							
7	7	24	24	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	41	Her-						
7	7	26	26	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	42	ren						
7	7	24	24	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	43							
7	7	49/2	49/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	44							
7	7	25	25	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	45							
