mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=160	160.0	𝅘𝅥	160.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0	Ich						
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	1							
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	2	beu-						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	3	ge						
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	4							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	5							
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	6	mei-						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	7	ne						
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	8							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	9							
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	10	Knie						
4	4	12	12	4.0	0	0	Chord	4/4	3	1	1	1	1	11							
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	12	ge-						
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	13	gen						
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	14	dem						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	15	Va-						
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	16							
5	5	17	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	17							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	18							
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	19							
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	20	ter						
6	6	21	21	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	21	un-						
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	22	sers						
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	23							
6	6	21	21	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	24							
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	25							
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	26	Her-						
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	27	ren						
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	28	Je-						
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	29	su						
7	7	24	24	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	30							
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	31							
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	32							
