mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/2	1	1	0					𝅗𝅥=108	216.0	𝅗𝅥	108.0	0.0	
1	1	0	0	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	0	Wohl						
1	1	2	2	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	1	dem,						
1	1	4	4	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	2	wohl						
1	1	0	0	4.0	0	0	Chord	3/2	3	1	1	1	1	3							
1	1	4	4	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	4	6						
2	2	6	6	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	5	dem,						
2	2	8	8	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	6	der						
2	2	10	10	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	7	nicht						
2	2	6	6	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	8							
2	2	8	8	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	9	5       6						
3	3	12	12	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	10	wan-						
3	3	14	14	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	11	delt						
3	3	16	16	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	12	im						
3	3	12	12	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	13							
3	3	14	14	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	14	5      6						
4	4	18	18	4.0	0	0	Chord	3/2	2	1	1	1	1	15	Rath						
4	4	22	22	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	16	der						
4	4	18	18	4.0	0	0	Chord	3/2	3	1	1	1	1	17							
4	4	22	22	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	18							
