mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0	
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0	Wann							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1	un-							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2	sre							
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	3								
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	4								
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	5								
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	6	Au-							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	7	gen							
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	8								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	9								
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	10	schla-							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	11	fen							
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	12								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	13								
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	14	ein,							
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	15	Wann							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	16	un-							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	17	sre							
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	18								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	19								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	20								
