mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=144	144.0	𝅘𝅥	144.0	0.0	
1	1	0	0	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	0	Ver-						
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	1	bum						
1	1	0	0	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	2							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	3							
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4	ca-						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	5	ro,						
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	6							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	7							
3	3	8	8	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	8	ver-						
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	9	bum						
3	3	8	8	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	10							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	11							
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12	ca-						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13	ro						
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	14							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	15							
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16							
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	17	fa-						
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	18	4						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	19	3						
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	20							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	21	ctum						
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	22	4						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	23							
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1	1	1	24	est.						
7	7	24	24	4.0	0	0	Chord	4/4	3	1	1	1	1	25							
8	8	28	28	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	26	Al-						
8	8	29	29	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	27	le-						
8	8	30	30	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	28	lu-						
8	8	32	32	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	29	ja,						
8	8	28	28	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	30							
8	8	30	30	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	31							
8	8	32	32	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	32							
9	9	34	34	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	33	Al-						
9	9	35	35	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	34	le-						
9	9	36	36	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	35	lu-						
9	9	38	38	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	36	ja,						
9	9	34	34	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	37							
9	9	36	36	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	38							
9	9	38	38	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	39							
10	10	40	40	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	40	Al-						
10	10	41	41	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	41	le-						
10	10	42	42	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	42	lu-						
10	10	44	44	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	43	ja,						
10	10	40	40	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	44							
10	10	42	42	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	45							
