mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=144	144.0	𝅘𝅥	144.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0	Die							
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	1								
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	2	Furcht							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	3	des							
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	4								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	5	6	4						
3	3	8	8	4.0	0	0	Chord	4/4	1	1	1	1	1	6	Her-							
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	7	4							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	8								
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	9	ren							
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1	1	1	10	Die							
4	4	12	12	4.0	0	0	Chord	4/4	3	1	1	1	1	11								
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	12	Furcht							
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	13	des							
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	14								
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	15	6	4						
6	6	20	20	4.0	0	0	Chord	4/4	2	1	1	1	1	16	Her-							
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	17	4							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	18								
7	7	26	26	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	19	ist							
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	20	der							
7	7	24	24	4.0	0	0	Chord	4/4	2	1	1	1	1	21	ren							
7	7	24	24	4.0	0	0	Chord	4/4	3	1	1	1	1	22								
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	23	Weis-							
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	24	heit							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	25	An-							
8	8	28	28	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	26								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	27								
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	28	fang,							
9	9	34	34	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	29	ist							
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	30	der							
9	9	34	34	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	31	ist							
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	32	der							
9	9	32	32	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	33								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	34								
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	35	Weis-							
10	10	37	37	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	36	heit							
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	37	An-							
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	38	Weis-							
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	39	heit							
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	40	An-							
10	10	36	36	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	41								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	42								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	43	4							
10	10	39	39	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	44	3							
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	45	fang,							
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	46	das							
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1	1	1	47	fang,							
11	11	40	40	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	48								
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	49								
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	50	ist							
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	51	ei-							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	52	ne							
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	53	fei-							0
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	54								0
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	55								0
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	56								
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	57								
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	58								0
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	59								0
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	60								0
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	61								0
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	62								0
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	63								0
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	64								0
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	65								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	66								
14	14	52	52	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	67								0
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	68								0
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	69								0
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	70								0
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	71								
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	72	ne							
14	14	52	52	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	73								
14	14	54	54	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	74								
14	14	55	55	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	75								
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	76	Klug-							
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	77	heit,							
15	15	56	56	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	78								
15	15	58	58	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	79								
16	16	60	60	4.0	0	0	Chord	4/4	2	1	1	1	1	80	die							
16	16	60	60	4.0	0	0	Chord	4/4	3	1	1	1	1	81								
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1	1	1	82	die							
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	83	Furcht							
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	84	des							
17	17	64	64	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	85								
17	17	66	66	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	86	6	4						
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	87	Furcht							
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	88	des							
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	89	Her-							1
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	90								1
18	18	68	68	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	91								
18	18	70	70	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	92	6	4						
19	19	72	72	4.0	0	0	Chord	4/4	1	1	1	1	1	93	Her-							
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	94								1
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	95								1
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	96								1
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	97								
19	19	72	72	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	98	4							
19	19	74	74	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	99								
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1	1	1	100	ren							
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	101	ren							
20	20	78	78	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	102	ist							
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	103	der							
20	20	76	76	4.0	0	0	Chord	4/4	3	1	1	1	1	104								
21	21	80	80	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	105	Weis-							
21	21	81	81	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	106	heit							
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	107	An-							
21	21	80	80	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	108								
21	21	82	82	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	109								
22	22	86	86	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	110	ist							
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	111	der							
22	22	84	84	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	112	fang,							
22	22	86	86	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	113	ist							
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	114	der							
22	22	84	84	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	115								
22	22	86	86	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	116								
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	117	Weis-							
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	118	heit							
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	119	An-							
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	120	Weis-							
