mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						Isaiah 41:10						
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=180	180.0	𝅘𝅥	180.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	0	Fürch-								
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	1									
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	2									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	3	te								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	4	dich								
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	5									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	6									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	7									
3	3	8	8	4.0	0	0	Chord	4/4	2	1	1	1	1	8	nicht								
3	3	8	8	4.0	0	0	Chord	4/4	3	1	1	1	1	9									
4	4	12	12	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	10	ich								
4	4	14	14	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	11	bin								
4	4	16	16	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	12	mit								
4	4	12	12	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	13									
4	4	14	14	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	14									
4	4	16	16	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	15									
5	5	18	18	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	16	dir,								
5	5	18	18	6.0	0	0	Chord	3/2	3	1	3/2	1	3/2	17									
6	6	24	24	4.0	0	0	Chord	4/4	1	1	1	1	1	18	Fürch-								
6	6	24	24	4.0	0	0	Chord	4/4	3	1	1	1	1	19									
7	7	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	20									
