mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=152	152.0	𝅘𝅥	152.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0	Ich							
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	1								
2	2	4	4	4.0	0	0	Chord	4/4	1	1	1	1	1	2	lie-							
2	2	4	4	4.0	0	0	Chord	4/4	2	1	1	1	1	3								
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4	ge							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	5	und							
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	6								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	7								
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	8	schla-							0
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	9								0
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	10								0
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	11								0
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15								
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	16								
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	17	7							
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	18	6							
6	6	20	20	4.0	0	0	Chord	4/4	1	1	1	1	1	19	fe,							
6	6	20	20	4.0	0	0	Chord	4/4	2	1	1	1	1	20								
7	7	26	26	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	21	und							
7	7	28	28	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	22	er-							
7	7	26	26	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	23								
7	7	28	28	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	24								
8	8	30	30	4.0	0	0	Chord	3/2	1	1	1	1	1	25	wa-							
8	8	34	34	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	26	che,							
8	8	30	30	4.0	0	0	Chord	3/2	2	1	1	1	1	27								
8	8	34	34	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	28								
9	9	38	38	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	29	und							
9	9	40	40	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	30	er-							
9	9	38	38	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	31								
9	9	40	40	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	32								
10	10	42	42	4.0	0	0	Chord	3/2	1	1	1	1	1	33	wa-							
