mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0	
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	0	O						
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	1							
2	2	4	4	4.0	0	0	Chord	4/4	1	1	1	1	1	2	sü-						
2	2	4	4	4.0	0	0	Chord	4/4	2	1	1	1	1	3							
3	3	8	8	4.0	0	0	Chord	4/4	1	1	1	1	1	4	sser,						
3	3	8	8	4.0	0	0	Chord	4/4	2	1	1	1	1	5							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	6	o						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	7							
5	5	16	16	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	8	freund-						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	9	li-						
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	10							
6	6	20	20	4.0	0	0	Chord	4/4	1	1	1	1	1	11	cher,						
6	6	20	20	4.0	0	0	Chord	4/4	2	1	1	1	1	12							
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13	o						
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	14							
8	8	28	28	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	15	gü-						
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	16	ti-						
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	17	ger						
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	18	Herr						
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	19							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	20							
9	9	32	32	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	21	Je-						
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	22	su						
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	23							
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	24							
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1	1	1	25	Chri-						
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1	1	1	26	4   3						
11	11	40	40	4.0	0	0	Chord	4/4	1	1	1	1	1	27	ste,						
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1	1	1	28							
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	29	wie						
