mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0	O							
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	1								
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	2								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	3	lie-							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	4	ber							
2	2	4	4	4.0	0	0	Chord	4/4	3	1	1	1	1	5								
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	6	Her-							0
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	7								
3	3	8	8	4.0	0	0	Chord	4/4	3	1	1	1	1	8	        4							
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	9								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	10	re							
4	4	12	12	4.0	0	0	Chord	4/4	3	1	1	1	1	11								
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	12	Gott							
5	5	16	16	4.0	0	0	Chord	4/4	3	1	1	1	1	13								
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	14	we-							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	15	cke							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	16	uns							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	17	auf,							
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	18								
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	19	6							
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	20								
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	21	dass							
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	22	wir							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	23	be-							
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	24	reit							
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	25	sein,							
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	26								
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	27	6							
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	28	we-							
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	29	cke							
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	30	uns							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	31	auf,							
8	8	28	28	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	32								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	33	6							
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	34								
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	35	dass							
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	36	wir							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	37	be-							
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	38	reit							
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	39	sein,							
9	9	32	32	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	40								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	41	6							
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	42	wenn							
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	43	dein							
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	44	Sohn							1
10	10	36	36	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	45								
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	46								
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	47								1
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	48								1
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	49								1
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	50								
11	11	40	40	4.0	0	0	Chord	4/4	3	1	1	1	1	51	4        3							
12	12	44	44	4.0	0	0	Chord	4/4	1	1	1	1	1	52	kömmt,							
12	12	44	44	4.0	0	0	Chord	4/4	3	1	1	1	1	53								
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	54	O							
13	13	48	48	4.0	0	0	Chord	4/4	3	1	1	1	1	55								
14	14	52	52	4.0	0	0	Chord	4/4	1	1	1	1	1	56	o							
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	57								
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	58	lie-							
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	59	ber							
14	14	52	52	4.0	0	0	Chord	4/4	3	1	1	1	1	60								
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	61								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	62	lie-							
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	63	ber							
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	64	Her-							2
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	65								
15	15	56	56	4.0	0	0	Chord	4/4	3	1	1	1	1	66	6	       4						
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	67	Her-							
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	68	re							
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	69								
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	70	re							
16	16	60	60	4.0	0	0	Chord	4/4	3	1	1	1	1	71	4							
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1	1	1	72	Gott							
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1	1	1	73	Gott							
17	17	64	64	4.0	0	0	Chord	4/4	3	1	1	1	1	74								
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	75	we-							
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	76	cke							
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	77	uns							
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	78	we-							
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	79	cke							
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	80	uns							
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	81	auf,							
18	18	68	68	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	82								
18	18	70	70	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	83	6							
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	84	auf,							
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	85								
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	86	dass							
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	87	wir							
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	88	be-							
19	19	72	72	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	89								
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	90	dass							
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	91	wir							
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	92	be-							
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	93	reit							
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	94	sein,							
19	19	72	72	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	95								
