mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=168	168.0	𝅘𝅥	168.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	0	Der						
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	1							
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	2							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	3	Herr						
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	4							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	5							
3	3	8	8	4.0	0	0	Chord	4/4	2	1	1	1	1	6	schau-						
3	3	8	8	4.0	0	0	Chord	4/4	3	1	1	1	1	7							
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	8	et						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	9	vom						
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	10							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	11							
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	12	Him-						
5	5	16	16	4.0	0	0	Chord	4/4	3	1	1	1	1	13							
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	14	mei						
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	15	auf						
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	16	der						
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	17							
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	18							
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	19							
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	20	Men-						
