mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
9	9	32	32	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	56	mag									
9	9	33	33	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	57	wi-									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	58	der									
9	9	34	34	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	59	uns									
9	9	32	32	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	60										
9	9	33	33	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	61										
9	9	34	34	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	62										
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	63	uns									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	64	sein,									
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	65										
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	66	sein,									
10	10	39	39	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	67	wer									
10	10	36	36	4.0	0	0	Chord	4/4	4	1	1	1	1	68	sein,									
10	10	36	36	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	69	6	4								
10	10	38	38	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	70	5									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	71	wer									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	72	mag									
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	73	wi-									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	74	der									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	75	wer									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	76	mag									
11	11	40	40	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	77	mag									
11	11	41	41	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	78	wi-									
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	79	der									
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	80	uns									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	81	sein,									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	82	wer									
11	11	40	40	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	83										
11	11	42	42	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	84	6									
11	11	43	43	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	85	5									
12	12	44	44	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	86	uns									0
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	87										0
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	88										0
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	89	wi-									
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	90	der									
12	12	45	45	1.5	1/4	1/4	Chord	4/4	2	1	3/8	1/4	3/2	91	uns									1
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	92										1
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	93										1
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	94										
12	12	45	45	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	95	wer									
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	96	mag									
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	97	wi-									
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	98	der									
12	12	44	44	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	99	mag									
12	12	45	45	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	100	wi-									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	101	der									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	102	uns									
12	12	44	44	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	103										
12	12	45	45	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	104										
12	12	46	46	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	105										
12	12	47	47	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	106										
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	107										
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	108	sein?									
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	109	sein?									
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	110	uns									
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	111	sein?									
13	13	48	48	4.0	0	0	Chord	4/4	4	1	1	1	1	112	sein?									
13	13	48	48	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	113	6	4								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	114	5									
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	115	Wel-									
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	116	cher									
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	117	auch									
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	118	sei-									
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	119	nes									
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	120	Wel-									
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	121	cher									
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	122	auch									
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	123	sei-									
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	124	nes									
14	14	53	53	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	125	Wel-									
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	126	cher									
14	14	54	54	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	127	auch									
14	14	55	55	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	128	sei-									
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	129	nes									
14	14	53	53	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	130	Wel-									
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	131	cher									
14	14	54	54	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	132	auch									
14	14	55	55	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	133	sei-									
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	134	nes									
14	14	53	53	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	135										
14	14	54	54	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	136										
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	137	ei-									
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	138	ge-									
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	139	nen									
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	140	Sohns									
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	141	ei-									
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	142	ge-									
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	143	nen									
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	144	Sohns									
15	15	56	56	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	145	ei-									
15	15	57	57	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	146	ge-									
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	147	nen									
15	15	58	58	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	148	Sohns									
15	15	59	59	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	149	nicht									
15	15	56	56	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	150	ei-									
15	15	57	57	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	151	ge-									
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	152	nen									
15	15	58	58	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	153	Sohns									
15	15	56	56	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	154										
15	15	58	58	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	155										
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	156										
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	157	nicht									
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	158	hat									
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	159	ver-									
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	160										
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	161	nicht									
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	162	hat									
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	163	ver-									
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	164	hat									
16	16	61	61	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	165	ver-									
16	16	62	62	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	166	scho-									2
16	16	63	63	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	167										2
16	16	60	60	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	168										
16	16	61	61	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	169	nicht									
16	16	62	62	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	170	hat									
16	16	63	63	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	171	ver-									
16	16	60	60	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	172	6									
16	16	61	61	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	173										
16	16	62	62	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	174										
16	16	63	63	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	175	6									
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	176	scho-									
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	177	net,									
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	178	scho-									
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	179	net,									
17	17	64	64	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	180										2
17	17	65	65	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	181										
17	17	66	66	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	182	net,									
17	17	64	64	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	183	scho-									
17	17	66	66	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	184	net,									
17	17	64	64	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	185	4									
17	17	65	65	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	186										
17	17	66	66	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	187										
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	188	son-									
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	189	dern									
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	190	hat									
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	191	ihn									
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	192	son-									
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	193	dern									
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	194	hat									
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	195	ihn									
18	18	69	69	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	196	son-									
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	197	dern									
18	18	70	70	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	198	hat									
18	18	71	71	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	199	ihn									
18	18	69	69	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	200	son-									
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	201	dern									
18	18	70	70	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	202	hat									
18	18	71	71	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	203	ihn									
18	18	69	69	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	204										
18	18	70	70	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	205										
19	19	72	72	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	206	für									
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	207	uns									
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	208	al-									
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	209	für									
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	210	uns									
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	211	al-									
19	19	72	72	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	212	für									
19	19	73	73	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	213	uns									
19	19	74	74	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	214	al-									
19	19	72	72	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	215	für									
19	19	73	73	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	216	uns									
19	19	74	74	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	217	al-									
19	19	72	72	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	218										
19	19	74	74	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	219										
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	220	le									
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	221	le									
20	20	76	76	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	222	le									
20	20	77	77	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	223	da-									
20	20	78	78	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	224	hin									
20	20	79	79	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	225	ge-									
20	20	76	76	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	226	le									
20	20	77	77	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	227	da-									
20	20	78	78	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	228	hin									
20	20	79	79	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	229	ge-									
20	20	76	76	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	230										
20	20	77	77	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	231										
20	20	78	78	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	232										
20	20	79	79	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	233										
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	234	da-									
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	235	hin									
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	236	ge-									
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	237	da-									
21	21	80	80	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	238	ge-									
21	21	82	82	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	239	ben,									
21	21	83	83	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	240	da-									
21	21	80	80	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	241	ge-									3
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	4	1	1/16	1/16	1	242										3
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	243										3
21	21	82	82	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	244										3
21	21	80	80	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	245										
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	5	1	1/16	1/16	1	246										
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	5	1	1/16	1/16	1	247										
21	21	82	82	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	248	5									4
21	21	83	83	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	249	6									4
22	22	84	84	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	250	ge-									5
22	22	171/2	171/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	251										5
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	252										5
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	253										
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	254	hin									
22	22	85	85	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	255	ge-									
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	256	ge-									
22	22	84	84	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	257	hin									
22	22	85	85	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	258	ge-									
22	22	86	86	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	259	ge-									
22	22	84	84	4.0	0	0	Chord	4/4	4	1	1	1	1	260										
22	22	84	84	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	261	3									
22	22	85	85	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	262	4									
22	22	86	86	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	263	4									
22	22	87	87	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	264										
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	265	ben,									
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	266	wie									
23	23	91	91	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	267	sollt									
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	268	er									
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	269	ben,									
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	270	wie									
23	23	91	91	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	271	sollt									
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	272	er									
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	273	ben,									
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	274	wie									
23	23	91	91	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	275	sollt									
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	276	er									
23	23	88	88	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	277	ben,									
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	278	wie									
23	23	91	91	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	279	sollt									
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	280	er									
23	23	88	88	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	281										
23	23	90	90	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	282										
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	283	uns									
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	284	mit									
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	285	ihm									
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	286	uns									
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	287	mit									
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	288	ihm									
