mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=172	172.0	𝅘𝅥	172.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	0	Das							
1	1	4	4	4.0	1	1	Chord	4/4	3	1	1	1	1	1	Blut							
1	1	0	0	4.0	0	0	Chord	4/4	4	1	1	1	1	2								
1	1	4	4	4.0	1	1	Chord	4/4	4	1	1	1	1	3								
2	2	4	4	4.0	0	0	Chord	4/4	2	1	1	1	1	4	Das							
2	2	8	8	4.0	1	1	Chord	4/4	2	1	1	1	1	5	Blut							
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	6	Je-							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	7	su							
2	2	8	8	2.0	1	1	Chord	4/4	3	1	1/2	1/2	1	8	Chri-							0
2	2	10	10	2.0	3/2	3/2	Chord	4/4	3	1	1/2	1/2	1	9								
2	2	4	4	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	10								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	11	6							
2	2	8	8	2.0	1	1	Chord	4/4	4	1	1/2	1/2	1	12	6							
2	2	10	10	2.0	3/2	3/2	Chord	4/4	4	1	1/2	1/2	1	13								
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	14	Je-							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	15	su							
3	3	12	12	4.0	1	1	Chord	4/4	2	1	1	1	1	16	Chri-							
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	17	 ti,							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	18	des							
3	3	12	12	2.0	1	1	Chord	4/4	3	1	1/2	1/2	1	19	Soh-							
3	3	14	14	2.0	3/2	3/2	Chord	4/4	3	1	1/2	1/2	1	20	nes							
3	3	8	8	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	21								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	22								
3	3	12	12	2.0	1	1	Chord	4/4	4	1	1/2	1/2	1	23								
3	3	14	14	2.0	3/2	3/2	Chord	4/4	4	1	1/2	1/2	1	24	6							
4	4	12	12	8.0	0	0	Chord	4/4	2	1	2	2	1	25	sti,							
4	4	12	12	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	26	Got-							1
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	27								1
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	28								1
4	4	14	14	4.0	1/2	1/2	Chord	4/4	3	1	1	1	1	29								1
4	4	18	18	2.0	3/2	3/2	Chord	4/4	3	1	1/2	1/2	1	30								
4	4	14	14	4.0	1/2	1/2	Chord	4/4	4	1	1	1	1	31								
4	4	18	18	2.0	3/2	3/2	Chord	4/4	4	1	1/2	1/2	1	32								
5	5	18	18	4.0	1/2	1/2	Chord	4/4	2	1	1	1	1	33	des							
5	5	22	22	2.0	3/2	3/2	Chord	4/4	2	1	1/2	1/2	1	34	Soh-							
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	35	tes,							
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	36	ma-							
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	37	chet							
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	38	uns							
5	5	20	20	1.0	1	1	Chord	4/4	3	1	1/4	1/4	1	39	rein							
