mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=180	180.0	𝅘𝅥	180.0	0.0	
1	1	0	0	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	0	Die						
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	1	Gott-						
1	1	0	0	4.0	0	0	Chord	4/4	4	1	1	1	1	2							
2	2	4	4	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	3	se-						
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	4	lig-						
2	2	4	4	4.0	0	0	Chord	4/4	4	1	1	1	1	5							
3	3	8	8	4.0	0	0	Chord	4/4	1	1	1	1	1	6	keit						
3	3	8	8	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	7							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	8	6						
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	9	ist						
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	10	zu						
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	11	al-						
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	12	len						
4	4	12	12	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	13							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	14							
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	15	Din-						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	16	gen						
5	5	16	16	4.0	0	0	Chord	4/4	4	1	1	1	1	17							
6	6	20	20	4.0	0	0	Chord	4/4	1	1	1	1	1	18	nütz,						
6	6	20	20	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	19	Die						
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	20	Gott-						
6	6	20	20	4.0	0	0	Chord	4/4	4	1	1	1	1	21							
7	7	24	24	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	22	se-						
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	23	lig-						
7	7	24	24	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	24							
7	7	27	27	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	25							
8	8	28	28	4.0	0	0	Chord	4/4	3	1	1	1	1	26	keit						
8	8	28	28	4.0	0	0	Chord	4/4	4	1	1	1	1	27							
9	9	32	32	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	28	ist						
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	29	zu						
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	30	al-						
9	9	35	35	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	31	len						
9	9	32	32	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	32							
9	9	33	33	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	33							
9	9	34	34	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	34							
9	9	35	35	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	35							
10	10	36	36	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	36	Die						
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	37	Gott						
10	10	36	36	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	38	Din-						
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	39	gen						
10	10	36	36	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	40	7						
10	10	38	38	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	41	6						
11	11	41	41	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	42	die						
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	43	Gott-						
