mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=158	158.0	𝅘𝅥	158.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0	Ihr							
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	1								
2	2	4	4	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	2	Hei-							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	li-							
2	2	4	4	4.0	0	0	Chord	4/4	3	1	1	1	1	4								
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	5	gen							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	6	lob-							
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	7								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	8								
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	9	sin-							0
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	10								0
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	11								0
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	12								0
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13								0
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	14								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	15								
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	17	get							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	18	dem							
5	5	16	16	4.0	0	0	Chord	4/4	3	1	1	1	1	19	7     6	       4						
6	6	20	20	4.0	0	0	Chord	4/4	1	1	1	1	1	20	Her-							
6	6	20	20	4.0	0	0	Chord	4/4	3	1	1	1	1	21								
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1	1	1	22	ren,							
