mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0					𝅘𝅥=152	152.0	𝅘𝅥	152.0	0.0	
1	1	0	0	3.0	0	0	Chord	4/2	1	1	3/4	1/2	3/2	0	Schaf-						
1	1	3	3	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	1	fe						
1	1	4	4	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	2	in						
1	1	6	6	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	3	mir,						
1	1	0	0	4.0	0	0	Chord	4/2	3	1	1	1	1	4							
1	1	4	4	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	5							
1	1	6	6	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	6							
2	2	8	8	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	7	Gott,						
2	2	10	10	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	8	ein						
2	2	12	12	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	9	rei-						
2	2	14	14	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	10	nes						
2	2	8	8	3.0	0	0	Chord	4/2	3	1	3/4	1/2	3/2	11							
2	2	11	11	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	12							
2	2	12	12	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	13							
2	2	14	14	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	14							
3	3	16	16	4.0	0	0	Chord	4/2	1	1	1	1	1	15	Herz,						
3	3	16	16	3.0	0	0	Chord	4/2	2	1	3/4	1/2	3/2	16	Schaf-						
3	3	19	19	1.0	3/4	3/4	Chord	4/2	2	1	1/4	1/4	1	17	fe						
3	3	20	20	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	18	in						
3	3	22	22	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	19	mir,						
3	3	16	16	2.0	0	0	Chord	4/2	3	1	1/2	1/2	1	20	2						
