mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=140	140.0	𝅘𝅥	140.0	0.0	
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0	Die								
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1	See-								
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2	le								
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	3									
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4	Chri-								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	5	sti								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	6	hei-								
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	7									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	8	6								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	9	5								
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	10									
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	11	li-								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	12	ge								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13	mich,								
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	14	4								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	15	3								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	16									
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	17	der								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	18	Leich-								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19	nam								
4	4	12	12	4.0	0	0	Chord	4/4	3	1	1	1	1	20									
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	21	Chri-								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	22	sti								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	23	spei-								
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	24									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	25									
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	26									
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	27	se								
