mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0	Die						
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	1							
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	2	Stimm						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	3	des						
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	4							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	5							
3	3	8	8	4.0	0	0	Chord	4/4	1	1	1	1	1	6	Her-						
3	3	8	8	4.0	0	0	Chord	4/4	2	1	1	1	1	7							
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	8	ren						
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	9	ge-						0
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	10							0
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	11							0
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	12							0
4	4	15	15	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	13							0
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	14							0
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	15							0
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	16							0
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	17							
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	18							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	19							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	20							
5	5	16	16	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	21							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	22	het						
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	23	auf						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	24	den						
5	5	16	16	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	25							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	26							
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	27							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	28							
6	6	20	20	4.0	0	0	Chord	4/4	1	1	1	1	1	29	Was-						
6	6	20	20	4.0	0	0	Chord	4/4	2	1	1	1	1	30							
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1	1	1	31	Die						
7	7	24	24	4.0	0	0	Chord	4/4	2	1	1	1	1	32							
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	33	Stimm						
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	34	des						
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	35							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	36							
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	37	Her-						
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	38	4						
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	39	3						
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	40	ren						
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	41	ge-						1
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	42							1
