mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=170	170.0	𝅘𝅥	170.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0	Ich							
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	1	Ich							
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	2								
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	3	hab							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	4	mein							
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	5	hab							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	6	mein							
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	7								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	8								
3	3	8	8	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	9	Sach							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	10	Gott							
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	11	Sach							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	12	Gott							
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	13								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	14								
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	15								
4	4	13	13	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	16	heim-							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	17	ge-							
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	18	heim-							
