mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0	Bo-							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1	ne							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	Je-							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	su,							
1	1	0	0	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	4	Bo-							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	5	ne							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	6	Je-							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	7	su,							
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	8								
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	9								
2	2	6	6	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	10	bo-							
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	11	ne							
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	12	bo-							
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	13	ne							
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	14	Je-							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	15	su,							
2	2	6	6	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	16	ver-							
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	17	bum							
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	18								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	19								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	20	6							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	21								
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	22	Je-							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	23	su,							
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	24	bo-							
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	25	ne							
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	26	Je-							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	27	su,							
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	28	Pa-							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	29	tris,							
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	30								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	31								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	32								
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	33	ver-							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	34	bum							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	35	Pa-							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	36	tris,							
4	4	12	12	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	37	bo-							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	38	ne							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	39	Je-							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	40	su,							
