mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/2	1	1	0						𝅗𝅥=84	168.0	𝅗𝅥	84.0	0.0	
1	1	0	0	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	0	Nun	Ve-						
1	1	2	2	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	1	komm,	ni						
1	1	4	4	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	2	der	Re-						
1	1	0	0	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	3	Nun	Ve-						0
1	1	1	1	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	4								
1	1	2	2	1.0	1/2	1/2	Chord	3/2	3	1	1/4	1/4	1	5	komm,	ni						1
1	1	3	3	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	6								
1	1	4	4	0.5	1	1	Chord	3/2	3	1	1/8	1/8	1	7	der	Re-						2
1	1	9/2	9/2	0.5	9/8	9/8	Chord	3/2	3	1	1/8	1/8	1	8								2
1	1	5	5	0.5	5/4	5/4	Chord	3/2	3	1	1/8	1/8	1	9								2
1	1	11/2	11/2	0.5	11/8	11/8	Chord	3/2	3	1	1/8	1/8	1	10								
1	1	0	0	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	11								
1	1	2	2	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	12	6							
1	1	4	4	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	13								
2	2	6	6	4.0	0	0	Chord	3/2	1	1	1	1	1	14	Hei-	dem-						
2	2	10	10	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	15	den,	ptor,						
2	2	6	6	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	16	Nun	Ve-						
2	2	8	8	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	17	komm,	ni						
2	2	10	10	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	18	der	Re-						
2	2	6	6	4.0	0	0	Chord	3/2	3	1	1	1	1	19	Hei-	dem-						
2	2	10	10	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	20	den,	ptor,						
2	2	6	6	1.0	0	0	Chord	3/2	4	1	1/4	1/4	1	21	Nun	Ve-						3
2	2	7	7	1.0	1/4	1/4	Chord	3/2	4	1	1/4	1/4	1	22								
2	2	8	8	1.0	1/2	1/2	Chord	3/2	4	1	1/4	1/4	1	23	komm.	ni						4
2	2	9	9	1.0	3/4	3/4	Chord	3/2	4	1	1/4	1/4	1	24								
2	2	10	10	0.5	1	1	Chord	3/2	4	1	1/8	1/8	1	25	der	Re-						5
2	2	21/2	21/2	0.5	9/8	9/8	Chord	3/2	4	1	1/8	1/8	1	26								5
2	2	11	11	0.5	5/4	5/4	Chord	3/2	4	1	1/8	1/8	1	27								5
2	2	23/2	23/2	0.5	11/8	11/8	Chord	3/2	4	1	1/8	1/8	1	28								
2	2	6	6	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	29								
2	2	8	8	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	30	6							
2	2	10	10	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	31								
3	3	12	12	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	32	Nun	ve-						
3	3	14	14	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	33	komm,	ni						
3	3	16	16	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	34	der	Re-						
3	3	12	12	4.0	0	0	Chord	3/2	2	1	1	1	1	35	Hei-	dem-						
3	3	16	16	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	36	den,	ptor,						
3	3	12	12	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	37	Nun	ve-						6
3	3	13	13	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	38								
3	3	14	14	1.0	1/2	1/2	Chord	3/2	3	1	1/4	1/4	1	39	komm,	ni						7
3	3	15	15	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	40								
3	3	16	16	0.5	1	1	Chord	3/2	3	1	1/8	1/8	1	41	der	Re-						8
3	3	33/2	33/2	0.5	9/8	9/8	Chord	3/2	3	1	1/8	1/8	1	42								8
3	3	17	17	0.5	5/4	5/4	Chord	3/2	3	1	1/8	1/8	1	43								8
3	3	35/2	35/2	0.5	11/8	11/8	Chord	3/2	3	1	1/8	1/8	1	44								
3	3	12	12	4.0	0	0	Chord	3/2	4	1	1	1	1	45	Hei-	dem-						
3	3	16	16	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	46	den,	ptor,						
3	3	12	12	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	47								
3	3	14	14	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	48	6							
3	3	16	16	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	49								
4	4	18	18	4.0	0	0	Chord	3/2	1	1	1	1	1	50	Hei-	dem-						
4	4	22	22	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	51	den,	ptor,						
