mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/2	1	1	0							𝅗𝅥=120	240.0	𝅗𝅥	120.0	0.0	
1	1	4	4	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	0	Ein								
1	1	4	4	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	1									
2	2	6	6	4.0	0	0	Chord	3/2	1	1	1	1	1	2	Kind								
2	2	10	10	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	3	ist								
2	2	6	6	4.0	0	0	Chord	3/2	5	1	1	1	1	4									
2	2	10	10	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	5									
3	3	12	12	4.0	0	0	Chord	3/2	1	1	1	1	1	6	uns								
3	3	16	16	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	7	ge-								
3	3	12	12	4.0	0	0	Chord	3/2	5	1	1	1	1	8									
3	3	16	16	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	9									
4	4	18	18	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	10	bo-								
4	4	18	18	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	11									
5	5	24	24	4.0	0	0	Chord	3/2	1	1	1	1	1	12	ren,								
5	5	24	24	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	13	ein								
5	5	26	26	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	14	Sohn								
5	5	28	28	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	15	ist								
5	5	24	24	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	16									
6	6	30	30	4.0	0	0	Chord	3/2	2	1	1	1	1	17	uns								
6	6	34	34	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	18	ge-								
6	6	30	30	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	19	ein								
6	6	32	32	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	20	Sohn								
6	6	34	34	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	21	ist								
6	6	30	30	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	22									
6	6	32	32	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	23									
6	6	34	34	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	24									
7	7	36	36	4.0	0	0	Chord	3/2	2	1	1	1	1	25	ge-								0
7	7	40	40	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	26									0
7	7	36	36	4.0	0	0	Chord	3/2	4	1	1	1	1	27	uns								
7	7	40	40	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	28	ge-								
7	7	36	36	4.0	0	0	Chord	3/2	5	1	1	1	1	29	6								
7	7	40	40	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	30	6								
8	8	42	42	3.0	0	0	Chord	3/2	2	1	3/4	1/2	3/2	31									0
8	8	45	45	0.5	3/4	3/4	Chord	3/2	2	1	1/8	1/8	1	32									0
8	8	91/2	91/2	0.5	7/8	7/8	Chord	3/2	2	1	1/8	1/8	1	33									0
8	8	46	46	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	34									
8	8	42	42	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	35									
8	8	44	44	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	36	ge-								
8	8	42	42	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	37									
8	8	44	44	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	38	7								
8	8	46	46	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	39	6								
9	9	52	52	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	40	ein								
9	9	48	48	4.0	0	0	Chord	3/2	2	1	1	1	1	41	ben,								
9	9	48	48	4.0	0	0	Chord	3/2	4	1	1	1	1	42	ben,								
9	9	48	48	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	43									
10	10	54	54	4.0	0	0	Chord	3/2	1	1	1	1	1	44	Kind								
10	10	58	58	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	45	ist								
10	10	54	54	4.0	0	0	Chord	3/2	5	1	1	1	1	46									
10	10	58	58	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	47									
11	11	60	60	4.0	0	0	Chord	3/2	1	1	1	1	1	48	uns								
11	11	64	64	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	49	ge-								
11	11	64	64	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	50	ein								
11	11	60	60	4.0	0	0	Chord	3/2	5	1	1	1	1	51									
11	11	64	64	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	52	6								
12	12	66	66	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	53	bo-								
12	12	66	66	4.0	0	0	Chord	3/2	3	1	1	1	1	54	Kind								
12	12	70	70	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	55	ist								
12	12	66	66	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	56									
13	13	72	72	4.0	0	0	Chord	3/2	1	1	1	1	1	57	ren,								
13	13	72	72	4.0	0	0	Chord	3/2	3	1	1	1	1	58	uns								
13	13	76	76	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	59	ge-								
13	13	72	72	4.0	0	0	Chord	3/2	5	1	1	1	1	60									
13	13	76	76	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	61									
14	14	78	78	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	62	ein								
14	14	80	80	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	63	Sohn								
14	14	82	82	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	64	ist								
14	14	78	78	6.0	0	0	Chord	3/2	3	1	3/2	1	3/2	65	bo-								
14	14	78	78	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	66									
15	15	84	84	4.0	0	0	Chord	3/2	1	1	1	1	1	67	uns								
15	15	88	88	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	68	ge-								
15	15	84	84	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	69	ein								
15	15	86	86	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	70	Sohn								
15	15	88	88	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	71	ist								
15	15	84	84	4.0	0	0	Chord	3/2	3	1	1	1	1	72	ren,								
15	15	84	84	6.0	0	0	Chord	3/2	5	1	3/2	1	3/2	73									
16	16	90	90	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	74	ge-								
16	16	92	92	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	75	ben,								
16	16	94	94	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	76	ist								
16	16	90	90	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	77	uns,								
16	16	90	90	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	78	ein								
16	16	92	92	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	79	Sohn								
16	16	94	94	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	80	ist								
16	16	90	90	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	81									
16	16	92	92	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	82									
16	16	94	94	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	83									
17	17	96	96	4.0	0	0	Chord	3/2	1	1	1	1	1	84	uns								
17	17	100	100	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	85	ge-								
17	17	96	96	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	86	ist								
17	17	98	98	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	87	uns								
17	17	100	100	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	88	ge-								
17	17	96	96	4.0	0	0	Chord	3/2	3	1	1	1	1	89	uns								
17	17	100	100	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	90	ge-								
17	17	96	96	4.0	0	0	Chord	3/2	5	1	1	1	1	91									
17	17	100	100	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	92									
18	18	102	102	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	93									
18	18	104	104	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	94	ge-								
18	18	102	102	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	95	ge-								1
18	18	104	104	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	96									
18	18	102	102	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	97									
18	18	104	104	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	98	ge-								
18	18	102	102	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	99									
18	18	104	104	4.0	1/2	1/2	Chord	3/2	5	1	1	1	1	100									
19	19	108	108	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	101	ben,								
19	19	108	108	4.0	0	0	Chord	3/2	2	1	1	1	1	102	ben.								
19	19	108	108	4.0	0	0	Chord	3/2	3	1	1	1	1	103	ben.								
19	19	112	112	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	104	ein								
19	19	108	108	4.0	0	0	Chord	3/2	5	1	1	1	1	105									
19	19	112	112	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	106									
20	20	118	118	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	107	ein								
20	20	114	114	4.0	0	0	Chord	3/2	4	1	1	1	1	108	Kind								
20	20	118	118	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	109	ist								
20	20	114	114	4.0	0	0	Chord	3/2	5	1	1	1	1	110									
20	20	118	118	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	111	6								
21	21	120	120	4.0	0	0	Chord	3/2	2	1	1	1	1	112	Kind								
21	21	124	124	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	113	ist								
21	21	120	120	4.0	0	0	Chord	3/2	4	1	1	1	1	114	uns								
21	21	124	124	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	115	ge-								
21	21	120	120	4.0	0	0	Chord	3/2	5	1	1	1	1	116									
21	21	124	124	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	117									
22	22	126	126	4.0	0	0	Chord	3/2	2	1	1	1	1	118	uns								
22	22	130	130	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	119	ge-								
