mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0	
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	0	Ich							
1	1	0	0	4.0	0	0	Chord	4/4	4	1	1	1	1	1								
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	2	bin							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	3	die							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	4	Auf-							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	5	er-							
2	2	4	4	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	6								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	7								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	8								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	9								
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	10	ste-							0
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	11								0
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	12								0
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	13								0
3	3	10	10	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	14								0
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	15								0
3	3	11	11	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	16								0
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	17								0
3	3	8	8	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	18								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	19								
4	4	12	12	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	20								
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	21	hung							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	22	und							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	23	das							
4	4	12	12	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	24								
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	25								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	26								
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	27								
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	28	wer							
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	29	an							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	30	mich							
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	31	glaü-							
5	5	16	16	4.0	0	0	Chord	4/4	3	1	1	1	1	32	Le-							
5	5	16	16	4.0	0	0	Chord	4/4	4	1	1	1	1	33								
6	6	20	20	4.0	0	0	Chord	4/4	1	1	1	1	1	34	bet,							
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	35	wer							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	36	an							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	37	mich							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	38	glaü-							
6	6	20	20	4.0	0	0	Chord	4/4	3	1	1	1	1	39	ben,							
6	6	20	20	4.0	0	0	Chord	4/4	4	1	1	1	1	40								
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	41	der							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	42	wird							
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	43	le-							
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	44	ben,							
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	45	bet,							
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	46	der							
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	47	wir							
7	7	24	24	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	48								
7	7	26	26	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	49								
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	50	ob							
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	51	er							
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	52	gleich							
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	53	le-							
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	54	ben,							
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	55	ob							
8	8	28	28	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	56								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	57								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	58								
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	59	stür-							1
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	60	er							
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	61	gleich							
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	62	stür-							2
9	9	32	32	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	63								
9	9	33	33	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	64								
9	9	34	34	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	65								
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	66								1
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	67								1
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	68								
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	69								2
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	70								2
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	71								
10	10	36	36	4.0	0	0	Chord	4/4	4	1	1	1	1	72								
11	11	40	40	4.0	0	0	Chord	4/4	1	1	1	1	1	73	be,							
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1	1	1	74	be,							
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	75	ich							
11	11	40	40	4.0	0	0	Chord	4/4	4	1	1	1	1	76								
12	12	44	44	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	77	bin							
12	12	45	45	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	78	die							
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	79	Au-							
12	12	47	47	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	80	fer-							
12	12	44	44	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	81								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	82								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	83								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	84								
13	13	48	48	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	85	ste-							3
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	86								3
13	13	49	49	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	87								3
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	88								3
13	13	50	50	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	89								3
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	90								3
13	13	51	51	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	91								3
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	92								3
13	13	48	48	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	93								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	94								
14	14	52	52	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	95								
