mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=96	96.0	𝅘𝅥	96.0	0.0	
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	0	Was						
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1	hast						
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	2	du						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	3	ver-						
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	4							
2	2	4	4	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	5	wir-						0
2	2	11/2	11/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	6							0
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	7							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	8	ket,						
2	2	4	4	4.0	0	0	Chord	4/4	2	1	1	1	1	9							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	10	Was						
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	11	hast						
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	12	du						
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	13	ver-						
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	14							
3	3	10	10	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	15							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	16							
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	17	wir-						1
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	18							1
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	19							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	20	ket,						
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1	1	1	21							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	22	o						
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	23	du						
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	24	al-						
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	25	ler-						
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	26	6						
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	27							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	28							
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	29	hold-						
6	6	21	21	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	30	se-						
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	31	lig-						
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	32	ster						
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	33							
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	34							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	35							
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	36	Knab,						
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	37	Je-						
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	38	su						
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	39							
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	40							
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1	1	1	41	Chri-						
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	42	4						
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	43							
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	44	ste,						
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	45	dass						
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	46	du						
