mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=96	96.0	𝅘𝅥	96.0	0.0	
1	1	0	0	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	0	Ha-							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	1	be							
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	2	dei-							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	3	ne							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	4	Lust							
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	5	an							
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	6	dem							
1	1	0	0	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	7								
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	8								
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	9								
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	10								
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	11	Her-							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	12	ren,							
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	13								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	14								
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	15								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	16								
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	17	der							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	18	wird							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	19	dir							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	20	ge-							
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	21	ben,							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	22	was							
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	23								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	24								
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	25								
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	26								
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	27	dein							0
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	28								
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	29	Herz							1
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	30								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	31	wün-							
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	32								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	33								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	34	4							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	35	3							
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	36	schet,							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	37	be-							
5	5	18	18	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	38	fiehl							
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	39	dem							
