mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	3	1	1	1	1		4	52	1
1	1	0	0	4/4	1	1	1	1	1		4	64	0
2	2	0	0	4/4	3	1	3/4	1/2	3/2		4	52	3
2	2	0	0	4/4	1	1	1	1	1	1	1	67	2
2	2	3/4	3/4	4/4	3	1	1/4	1/4	1		2	50	4
3	3	0	0	4/4	3	1	1/2	1/2	1		0	48	8
3	3	0	0	4/4	2	1	1	1	1		4	64	7
3	3	0	0	4/4	1	1	1/2	1/2	1	-1	1	67	5
3	3	1/2	1/2	4/4	3	1	1/2	1/2	1		3	45	9
3	3	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	6
4	4	0	0	4/4	3	1	3/4	1/2	3/2		4	52	12
4	4	0	0	4/4	2	1	1	1	1	1	1	67	11
4	4	0	0	4/4	1	1	1	1	1		5	71	10
4	4	3/4	3/4	4/4	3	1	1/4	1/4	1		2	50	13
5	5	0	0	4/4	3	1	1/2	1/2	1		0	48	16
5	5	0	0	4/4	2	1	1/2	1/2	1	-1	1	67	14
5	5	1/2	1/2	4/4	3	1	1/2	1/2	1		3	45	17
5	5	1/2	1/2	4/4	2	1	1/2	1/2	1		3	69	15
6	6	0	0	4/4	3	1	1/2	1/2	1		4	52	20
6	6	0	0	4/4	2	1	1	1	1		5	71	19
6	6	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	21
6	6	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	18
7	7	0	0	4/4	3	1	1/2	1/2	1		0	48	28
7	7	0	0	4/4	1	1	1/4	1/4	1		4	64	22
7	7	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67	23
7	7	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	24
7	7	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	29
7	7	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	25
7	7	3/4	3/4	4/4	2	1	1/4	1/4	1		5	71	27
7	7	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	26
8	8	0	0	4/4	3	1	1/2	1/2	1		0	48	37
8	8	0	0	4/4	2	1	1/4	1/4	1		4	64	32
8	8	0	0	4/4	1	1	1/2	1/2	1		0	72	30
8	8	1/4	1/4	4/4	2	1	1/8	1/8	1		1	67	33
8	8	3/8	3/8	4/4	2	1	1/8	1/8	1		3	69	34
8	8	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	38
8	8	1/2	1/2	4/4	2	1	1/4	1/4	1		5	71	35
8	8	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	31
8	8	3/4	3/4	4/4	2	1	1/4	1/4	1		2	74	36
9	9	0	0	4/4	3	1	1/2	1/2	1		0	48	42
9	9	0	0	4/4	2	1	1/2	1/2	1		0	72	40
