mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/4	2	1	1	1	1	1	1	55	G3	3	0
1	1	0	0	4.0	0	0	4/4	3	1	1	1	1	1	1	55	G3	3	1
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	1	55	G3	3	2
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1	-1	1	55	G3	3	4
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	3
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		4	52	E3	3	5
3	3	8	8	4.0	0	0	4/4	2	1	1	1	1		3	57	A3	3	6
3	3	8	8	4.0	0	0	4/4	3	1	1	1	1		3	57	A3	3	7
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		6	54	F#3	3	8
4	4	12	12	2.0	0	0	4/4	3	1	1/2	1/2	1		6	54	F#3	3	10
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	9
4	4	14	14	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50	D3	3	11
5	5	16	16	4.0	0	0	4/4	2	1	1	1	1		1	55	G3	3	12
5	5	16	16	4.0	0	0	4/4	3	1	1	1	1		1	55	G3	3	13
6	6	20	20	2.0	0	0	4/4	2	1	1/2	1/2	1		2	50	D3	3	14
6	6	20	20	2.0	0	0	4/4	3	1	1/2	1/2	1		2	50	D3	3	17
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	15
6	6	22	22	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		4	52	E3	3	18
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	16
6	6	23	23	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		2	50	D3	3	19
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	20
7	7	24	24	1.0	0	0	4/4	3	1	1/4	1/4	1		0	48	C3	3	23
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	21
7	7	25	25	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		5	47	B2	2	24
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	22
7	7	26	26	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	45	A2	2	25
8	8	28	28	4.0	0	0	4/4	2	1	1	1	1		1	43	G2	2	27
