mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	2	1	1	1	1		2	50	4
1	1	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	0
1	1	1/2	1/2	4/4	1	1	1/4	1/4	1		3	57	1
1	1	3/4	3/4	4/4	1	1	1/8	1/8	1		3	57	2
1	1	7/8	7/8	4/4	1	1	1/8	1/8	1		5	59	3
2	2	0	0	4/4	2	1	1	1	1		3	45	9
2	2	0	0	4/4	1	1	3/8	1/4	3/2		7	61	5
2	2	3/8	3/8	4/4	1	1	1/16	1/16	1		2	62	6
2	2	7/16	7/16	4/4	1	1	1/16	1/16	1		4	64	7
2	2	1/2	1/2	4/4	1	1	1/2	1/2	1		7	61	8
3	3	0	0	4/4	2	1	1/2	1/2	1		2	38	14
3	3	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	10
3	3	1/2	1/2	4/4	2	1	3/8	1/4	3/2		3	45	15
3	3	1/2	1/2	4/4	1	1	1/4	1/4	1		7	61	11
3	3	3/4	3/4	4/4	1	1	1/8	1/8	1		7	61	12
3	3	7/8	7/8	4/4	2	1	1/8	1/8	1		-2	46	16
3	3	7/8	7/8	4/4	1	1	1/8	1/8	1		2	62	13
4	4	0	0	4/4	2	1	1	1	1		3	45	21
4	4	0	0	4/4	1	1	3/8	1/4	3/2		4	64	17
4	4	3/8	3/8	4/4	1	1	1/16	1/16	1		-1	65	18
4	4	7/16	7/16	4/4	1	1	1/16	1/16	1		1	67	19
4	4	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	20
5	5	0	0	4/4	2	1	1/2	1/2	1		3	45	26
5	5	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	22
5	5	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	46	27
5	5	5/8	5/8	4/4	1	1	1/8	1/8	1		-1	65	23
5	5	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	28
5	5	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64	24
5	5	7/8	7/8	4/4	1	1	1/8	1/8	1		2	62	25
6	6	0	0	4/4	2	1	1/4	1/4	1		0	48	33
6	6	0	0	4/4	1	1	1/4	1/4	1		1	67	29
6	6	1/4	1/4	4/4	2	1	1/4	1/4	1		7	49	34
6	6	1/4	1/4	4/4	1	1	3/8	1/4	3/2		3	69	30
6	6	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	35
6	6	5/8	5/8	4/4	1	1	1/8	1/8	1		1	67	31
6	6	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	32
7	7	0	0	4/4	2	1	1/2	1/2	1		3	45	39
7	7	0	0	4/4	1	1	1/2	1/2	1		4	64	36
7	7	1/2	1/2	4/4	2	1	1/2	1/2	1		1	43	40
7	7	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	37
7	7	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	38
8	8	0	0	4/4	2	1	1/2	1/2	1	1	3	45	42
8	8	0	0	4/4	1	1	1	1	1		4	64	41
8	8	1/2	1/2	4/4	2	1	1/2	1/2	1	-1	3	45	43
9	9	0	0	4/4	2	1	1/2	1/2	1		2	50	48
9	9	0	0	4/4	1	1	1/2	1/2	1		2	62	44
9	9	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	49
9	9	5/8	5/8	4/4	1	1	1/8	1/8	1		3	57	45
9	9	3/4	3/4	4/4	1	1	1/8	1/8	1		3	57	46
9	9	7/8	7/8	4/4	1	1	1/8	1/8	1		3	57	47
10	10	0	0	4/4	2	1	1/4	1/4	1	1	2	50	54
10	10	0	0	4/4	1	1	1/4	1/4	1		3	57	50
10	10	1/4	1/4	4/4	2	1	1/4	1/4	1	-1	2	50	55
10	10	1/4	1/4	4/4	1	1	1/4	1/4	1		5	59	51
10	10	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	56
10	10	1/2	1/2	4/4	1	1	1/4	1/4	1		0	60	52
10	10	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	53	57
10	10	3/4	3/4	4/4	1	1	1/4	1/4	1		0	60	53
11	11	0	0	4/4	2	1	1/4	1/4	1	1	1	55	61
11	11	0	0	4/4	1	1	1/4	1/4	1		0	60	58
11	11	1/4	1/4	4/4	2	1	1/4	1/4	1	-1	1	55	62
11	11	1/4	1/4	4/4	1	1	1/4	1/4	1		5	59	59
11	11	1/2	1/2	4/4	2	1	1/2	1/2	1		0	48	63
11	11	1/2	1/2	4/4	1	1	1/2	1/2	1		0	60	60
12	12	0	0	4/4	2	1	1/2	1/2	1		3	45	68
