mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	1	1	1	1	1		1	55	0
1	1	0	0	4/4	3	1	1	1	1		1	55	1
2	2	0	0	4/4	1	1	1/2	1/2	1		4	52	2
2	2	0	0	4/4	3	1	1/2	1/2	1		4	52	4
2	2	1/2	1/2	4/4	1	1	1/2	1/2	1		5	47	3
2	2	1/2	1/2	4/4	3	1	1/2	1/2	1		5	47	5
3	3	0	0	4/4	1	1	1/2	1/2	1		0	48	6
3	3	0	0	4/4	3	1	1/2	1/2	1		0	48	8
3	3	1/2	1/2	4/4	1	1	1/2	1/2	1		2	50	7
3	3	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50	9
4	4	0	0	4/4	1	1	1	1	1		1	43	10
4	4	0	0	4/4	3	1	1	1	1		1	43	11
5	5	0	0	4/4	1	1	1/4	1/4	1		1	55	12
5	5	0	0	4/4	3	1	1/4	1/4	1		1	55	16
5	5	1/4	1/4	4/4	1	1	1/8	1/8	1		1	55	13
5	5	1/4	1/4	4/4	3	1	1/8	1/8	1		1	55	17
5	5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	55	14
5	5	3/8	3/8	4/4	3	1	1/8	1/8	1		1	55	18
5	5	1/2	1/2	4/4	1	1	1/2	1/2	1		0	60	15
5	5	1/2	1/2	4/4	3	1	1/2	1/2	1		0	60	19
6	6	0	0	4/4	1	1	1/4	1/4	1		5	59	20
6	6	0	0	4/4	3	1	1/4	1/4	1		5	59	23
6	6	1/4	1/4	4/4	1	1	1/2	1/2	1		3	57	21
6	6	1/4	1/4	4/4	3	1	1/2	1/2	1		3	57	24
6	6	3/4	3/4	4/4	1	1	1/4	1/4	1		1	55	22
6	6	3/4	3/4	4/4	3	1	1/4	1/4	1		1	55	25
7	7	0	0	4/4	1	1	1/4	1/4	1		-1	53	26
7	7	0	0	4/4	3	1	1/4	1/4	1		-1	53	30
7	7	1/4	1/4	4/4	1	1	1/4	1/4	1		4	52	27
7	7	1/4	1/4	4/4	3	1	1/4	1/4	1		4	52	31
7	7	1/2	1/2	4/4	1	1	1/4	1/4	1		2	50	28
7	7	1/2	1/2	4/4	3	1	1/4	1/4	1		2	50	32
7	7	3/4	3/4	4/4	1	1	1/4	1/4	1		0	48	29
7	7	3/4	3/4	4/4	3	1	1/4	1/4	1		0	48	33
8	8	0	0	4/4	3	1	1/4	1/4	1	1	1	55	35
8	8	0	0	4/4	1	1	1	1	1		1	55	34
8	8	1/4	1/4	4/4	3	1	1/2	1/2	1	0	1	55	36
8	8	3/4	3/4	4/4	3	1	1/4	1/4	1	-1	1	55	37
9	9	0	0	4/4	1	1	1	1	1		0	48	38
9	9	0	0	4/4	3	1	1	1	1		0	48	39
10	10	0	0	4/4	2	1	1	1	1		1	55	40
10	10	0	0	4/4	3	1	1	1	1		1	55	41
11	11	0	0	4/4	2	1	1/2	1/2	1		4	52	43
11	11	0	0	4/4	3	1	1/2	1/2	1		4	52	45
11	11	0	0	4/4	1	1	1	1	1		1	55	42
11	11	1/2	1/2	4/4	2	1	1/2	1/2	1		5	47	44
