mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	4.0	0	0	4/4	5	1	1	1	1		1	55	G3	3	1
1	1	0	4.0	0	0	4/4	1	1	1	1	1		2	74	D5	5	0
2	2	4	2.0	0	0	4/4	5	1	1/2	1/2	1		-3	51	Eb3	3	4
2	2	4	3.0	0	0	4/4	1	1	3/4	1/2	3/2		-3	75	Eb5	5	2
2	2	6	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	48	C3	3	5
2	2	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	77	F5	5	3
3	3	8	3.0	0	0	4/4	5	1	3/4	1/2	3/2		1	55	G3	3	8
3	3	8	4.0	0	0	4/4	1	1	1	1	1		2	74	D5	5	6
3	3	11	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		1	55	G3	3	7
3	3	11	1.0	3/4	3/4	4/4	5	1	1/4	1/4	1		1	55	G3	3	9
4	4	12	1.0	0	0	4/4	4	1	1/4	1/4	1		-1	53	F3	3	15
4	4	12	1.0	0	0	4/4	5	1	1/4	1/4	1		-1	53	F3	3	19
4	4	13	0.5	1/4	1/4	4/4	4	1	1/8	1/8	1		2	50	D3	3	16
4	4	13	1.0	1/4	1/4	4/4	5	1	1/4	1/4	1		2	50	D3	3	20
4	4	13	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		2	62	D4	4	11
4	4	27/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		2	50	D3	3	17
4	4	14	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-3	51	Eb3	3	18
4	4	14	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		-3	51	Eb3	3	21
4	4	14	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		-2	58	Bb3	3	12
4	4	15	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		1	55	G3	3	13
4	4	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	10
4	4	31/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		1	55	G3	3	14
5	5	16	2.0	0	0	4/4	5	1	1/2	1/2	1	1	2	50	D3	3	29
5	5	16	4.0	0	0	4/4	4	1	1	1	1		2	50	D3	3	28
5	5	16	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	26
5	5	16	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	65	F4	4	22
5	5	17	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	23
5	5	35/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	24
5	5	18	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1	-1	2	50	D3	3	30
5	5	18	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	27
5	5	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-1	65	F4	4	25
6	6	20	4.0	0	0	4/4	5	1	1	1	1		3	57	A3	3	33
6	6	20	4.0	0	0	4/4	2	1	1	1	1		4	64	E4	4	32
6	6	22	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	31
7	7	24	4.0	0	0	4/4	5	1	1	1	1		1	55	G3	3	36
7	7	24	3.0	0	0	4/4	1	1	3/4	1/2	3/2		-2	70	Bb4	4	34
7	7	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	35
8	8	28	2.0	0	0	4/4	5	1	1/2	1/2	1		2	50	D3	3	44
8	8	28	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	37
