mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/4	3	1	1	1	1		1	55	G3	3	3
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		2	62	D4	4	0
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62	D4	4	1
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	2
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		-3	51	Eb3	3	7
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	4
2	2	6	6	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1	1	5	47	B2	2	8
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	5
2	2	7	7	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1	-1	5	47	B2	2	9
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	-1	65	F4	4	6
3	3	8	8	1.0	0	0	4/4	3	1	1/4	1/4	1	1	0	48	C3	3	14
3	3	8	8	0.5	0	0	4/4	1	1	1/8	1/8	1	-1	-1	65	F4	4	10
3	3	17/2	17/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4	11
3	3	9	9	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1	-1	0	48	C3	3	15
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	12
3	3	10	10	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50	D3	3	16
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	62	D4	4	13
4	4	12	12	4.0	0	0	4/4	3	1	1	1	1		1	43	G2	2	20
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	17
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	18
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	19
5	5	16	16	2.0	0	0	4/4	3	1	1/2	1/2	1		1	43	G2	2	24
5	5	16	16	2.0	0	0	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	21
5	5	18	18	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50	D3	3	25
5	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	22
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	3	57	A3	3	23
6	6	20	20	1.0	0	0	4/4	3	1	1/4	1/4	1	1	-3	51	Eb3	3	29
6	6	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	3	57	A3	3	26
6	6	21	21	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1	-1	-3	51	Eb3	3	30
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	27
6	6	22	22	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50	D3	3	31
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	57	A3	3	28
7	7	24	24	4.0	0	0	4/4	3	1	1	1	1		0	48	C3	3	35
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	32
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	33
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-3	63	Eb4	4	34
8	8	28	28	2.0	0	0	4/4	3	1	1/2	1/2	1		5	47	B2	2	40
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		2	62	D4	4	36
8	8	30	30	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1	1	0	48	C3	3	41
8	8	30	30	0.75	1/2	1/2	4/4	1	1	3/16	1/8	3/2		1	67	G4	4	37
8	8	123/4	123/4	0.25	11/16	11/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	38
8	8	31	31	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1	0	0	48	C3	3	42
8	8	31	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	-1	65	F4	4	39
9	9	32	32	1.0	0	0	4/4	3	1	1/4	1/4	1	0	0	48	C3	3	46
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	-1	65	F4	4	43
9	9	33	33	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1	-1	0	48	C3	3	47
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	44
9	9	34	34	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-1	41	F2	2	48
9	9	34	34	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	65	F4	4	45
10	10	36	36	2.0	0	0	4/4	3	1	1/2	1/2	1		-1	53	F3	3	51
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3	49
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-2	46	Bb2	2	50
10	10	38	38	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-2	46	Bb2	2	52
11	11	40	40	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	53	F3	3	53
11	11	40	40	2.0	0	0	4/4	3	1	1/2	1/2	1		-1	53	F3	3	58
11	11	41	41	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-1	53	F3	3	54
11	11	83/2	83/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-1	53	F3	3	55
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	56
11	11	42	42	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		-1	53	F3	3	59
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	57
11	11	43	43	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		4	52	E3	3	60
12	12	44	44	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	61
12	12	44	44	2.0	0	0	4/4	3	1	1/2	1/2	1		2	50	D3	3	64
12	12	45	45	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	62
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	48	C3	3	63
12	12	46	46	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		0	48	C3	3	65
13	13	48	48	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	53	F3	3	66
13	13	48	48	1.0	0	0	4/4	3	1	1/4	1/4	1		-1	53	F3	3	69
13	13	49	49	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	67
13	13	49	49	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		1	55	G3	3	70
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	48	C3	3	68
13	13	50	50	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		0	48	C3	3	71
14	14	52	52	2.0	0	0	4/4	2	1	1/2	1/2	1		7	49	C#3	3	75
14	14	53	53	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	49	C#3	3	72
14	14	54	54	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	49	C#3	3	73
14	14	54	54	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	49	C#3	3	76
14	14	55	55	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	49	C#3	3	74
14	14	55	55	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	49	C#3	3	77
15	15	56	56	4.0	0	0	4/4	1	1	1	1	1		2	50	D3	3	78
15	15	56	56	4.0	0	0	4/4	2	1	1	1	1		2	50	D3	3	79
16	16	60	60	2.0	0	0	4/4	1	1	1/2	1/2	1		2	50	D3	3	80
16	16	60	60	3.0	0	0	4/4	2	1	3/4	1/2	3/2		2	50	D3	3	82
16	16	63	63	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	50	D3	3	81
16	16	63	63	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	83
17	17	64	64	4.0	0	0	4/4	1	1	1	1	1		-2	46	Bb2	2	84
17	17	64	64	4.0	0	0	4/4	2	1	1	1	1		-2	46	Bb2	2	85
18	18	68	68	4.0	0	0	4/4	1	1	1	1	1		3	45	A2	2	86
18	18	68	68	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	87
19	19	72	72	4.0	0	0	3/2	1	1	1	1	1		2	50	D3	3	88
19	19	72	72	4.0	0	0	3/2	2	1	1	1	1		2	50	D3	3	90
19	19	76	76	2.0	1	1	3/2	1	1	1/2	1/2	1		-2	46	Bb2	2	89
19	19	76	76	2.0	1	1	3/2	2	1	1/2	1/2	1		-2	46	Bb2	2	91
20	20	78	78	4.0	0	0	3/2	1	1	1	1	1		-3	51	Eb3	3	92
20	20	78	78	4.0	0	0	3/2	2	1	1	1	1		-3	51	Eb3	3	94
20	20	82	82	2.0	1	1	3/2	1	1	1/2	1/2	1		2	50	D3	3	93
20	20	82	82	2.0	1	1	3/2	2	1	1/2	1/2	1		2	50	D3	3	95
21	21	84	84	4.0	0	0	3/2	1	1	1	1	1		1	55	G3	3	96
21	21	84	84	4.0	0	0	3/2	2	1	1	1	1		1	55	G3	3	98
21	21	88	88	2.0	1	1	3/2	1	1	1/2	1/2	1		6	54	F#3	3	97
21	21	88	88	2.0	1	1	3/2	2	1	1/2	1/2	1		6	54	F#3	3	99
22	22	90	90	6.0	0	0	3/2	1	1	3/2	1	3/2		1	55	G3	3	100
22	22	90	90	6.0	0	0	3/2	2	1	3/2	1	3/2		1	55	G3	3	101
23	23	97	97	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		-2	58	Bb3	3	110
23	23	97	97	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		-2	58	Bb3	3	114
23	23	97	97	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	106
23	23	97	97	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	102
23	23	98	98	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		-2	58	Bb3	3	111
23	23	98	98	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		-2	58	Bb3	3	115
23	23	98	98	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	107
23	23	98	98	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	103
23	23	99	99	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		-2	58	Bb3	3	112
23	23	99	99	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		-2	58	Bb3	3	116
23	23	99	99	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	108
23	23	99	99	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		-1	65	F4	4	104
23	23	199/2	199/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		-2	58	Bb3	3	113
23	23	199/2	199/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	109
23	23	199/2	199/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4	105
24	24	100	100	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	121
24	24	100	100	2.0	0	0	4/4	4	1	1/2	1/2	1		3	57	A3	3	123
24	24	100	100	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4	119
24	24	100	100	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	117
24	24	102	102	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	G3	3	122
24	24	102	102	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	55	G3	3	124
24	24	102	102	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		5	59	B3	3	120
24	24	102	102	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	118
25	25	105	105	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		0	60	C4	4	133
25	25	105	105	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		0	60	C4	4	137
25	25	105	105	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	129
25	25	105	105	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	125
25	25	106	106	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		0	60	C4	4	134
25	25	106	106	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		0	60	C4	4	138
25	25	106	106	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	130
25	25	106	106	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	126
