mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	2/2	2	1	1	1	1		-3	51	Eb3	3	2
1	1	2	2	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		-2	58	Bb3	3	0
1	1	3	3	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		-2	58	Bb3	3	1
2	2	4	4	2.0	0	0	2/2	2	1	1/2	1/2	1		-3	51	Eb3	3	7
2	2	4	4	1.0	0	0	2/2	1	1	1/4	1/4	1		-2	58	Bb3	3	3
2	2	5	5	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	4
2	2	11/2	11/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	5
2	2	6	6	2.0	1/2	1/2	2/2	2	1	1/2	1/2	1		2	50	D3	3	8
2	2	6	6	2.0	1/2	1/2	2/2	1	1	1/2	1/2	1	1	-2	58	Bb3	3	6
3	3	8	8	2.0	0	0	2/2	2	1	1/2	1/2	1	1	0	48	C3	3	12
3	3	8	8	2.0	0	0	2/2	1	1	1/2	1/2	1	-1	-2	58	Bb3	3	9
3	3	10	10	2.0	1/2	1/2	2/2	2	1	1/2	1/2	1	0	0	48	C3	3	13
3	3	10	10	1.5	1/2	1/2	2/2	1	1	3/8	1/4	3/2		-4	56	Ab3	3	10
3	3	23/2	23/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	11
4	4	12	12	2.0	0	0	2/2	2	1	1/2	1/2	1	0	0	48	C3	3	15
4	4	12	12	4.0	0	0	2/2	1	1	1	1	1		1	55	G3	3	14
4	4	14	14	2.0	1/2	1/2	2/2	2	1	1/2	1/2	1	-1	0	48	C3	3	16
5	5	16	16	2.0	0	0	2/2	2	1	1/2	1/2	1		-1	41	F2	2	18
5	5	16	16	2.0	0	0	2/2	1	1	1/2	1/2	1		-1	53	F3	3	17
5	5	18	18	1.0	1/2	1/2	2/2	2	1	1/4	1/4	1		-1	53	F3	3	19
5	5	19	19	1.0	3/4	3/4	2/2	2	1	1/4	1/4	1		-1	53	F3	3	20
6	6	20	20	2.0	0	0	2/2	2	1	1/2	1/2	1		-1	53	F3	3	24
6	6	20	20	1.0	0	0	2/2	1	1	1/4	1/4	1		0	60	C4	4	21
6	6	21	21	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		0	60	C4	4	22
6	6	22	22	2.0	1/2	1/2	2/2	2	1	1/2	1/2	1		-3	51	Eb3	3	25
6	6	22	22	2.0	1/2	1/2	2/2	1	1	1/2	1/2	1	1	0	60	C4	4	23
7	7	24	24	2.0	0	0	2/2	2	1	1/2	1/2	1	1	2	50	D3	3	29
7	7	24	24	2.0	0	0	2/2	1	1	1/2	1/2	1	-1	0	60	C4	4	26
7	7	26	26	2.0	1/2	1/2	2/2	2	1	1/2	1/2	1	0	2	50	D3	3	30
7	7	26	26	1.5	1/2	1/2	2/2	1	1	3/8	1/4	3/2		-2	58	Bb3	3	27
7	7	55/2	55/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	28
8	8	28	28	1.0	0	0	2/2	2	1	1/4	1/4	1	0	2	50	D3	3	32
8	8	28	28	4.0	0	0	2/2	1	1	1	1	1		3	57	A3	3	31
8	8	29	29	2.0	1/4	1/4	2/2	2	1	1/2	1/2	1	0	2	50	D3	3	33
8	8	31	31	1.0	3/4	3/4	2/2	2	1	1/4	1/4	1	-1	2	50	D3	3	34
9	9	32	32	1.0	0	0	2/2	2	1	1/4	1/4	1		1	43	G2	2	37
9	9	32	32	2.0	0	0	2/2	1	1	1/2	1/2	1		1	55	G3	3	35
9	9	33	33	1.0	1/4	1/4	2/2	2	1	1/4	1/4	1		1	55	G3	3	38
9	9	34	34	1.0	1/2	1/2	2/2	2	1	1/4	1/4	1		1	55	G3	3	39
9	9	35	35	1.0	3/4	3/4	2/2	2	1	1/4	1/4	1		1	55	G3	3	40
9	9	35	35	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		2	62	D4	4	36
10	10	36	36	2.0	0	0	2/2	2	1	1/2	1/2	1		1	55	G3	3	45
10	10	36	36	1.0	0	0	2/2	1	1	1/4	1/4	1		2	62	D4	4	41
10	10	37	37	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	42
10	10	75/2	75/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	43
10	10	38	38	2.0	1/2	1/2	2/2	2	1	1/2	1/2	1		-1	53	F3	3	46
10	10	38	38	2.0	1/2	1/2	2/2	1	1	1/2	1/2	1	1	2	62	D4	4	44
11	11	40	40	2.0	0	0	2/2	2	1	1/2	1/2	1	1	4	52	E3	3	50
11	11	40	40	2.0	0	0	2/2	1	1	1/2	1/2	1	-1	2	62	D4	4	47
