mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	e.i					e	i		i	i							m	1	1	4, 1, 5		4	4	1	4	0.2	0.25	3.75	0.0625
3	3	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	2.0	0.0
3	3	1/2	1/2	4/4	3	1	iv					e	i		iv	iv							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	1.0	0.0
4	4	0	0	4/4	3	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	1	3	0.25	0.25	2.75	0.08333333333333333
5	5	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	1.0	0.0
5	5	1/2	1/2	4/4	3	1	iv					e	i		iv	iv							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	1.0	0.0
6	6	0	0	4/4	3	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	1.5	0.0
6	6	1/2	1/2	4/4	3	1	V/VI					e	i		V/VI	V				VI			M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.75	0.0
7	7	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	3	0.25	0.125	0.875	0.125
7	7	1/2	1/2	4/4	3	1	V/VI					e	i		V/VI	V				VI			M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.25	0.0
8	8	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	4	0.2	0.125	1.375	0.08333333333333333
8	8	1/2	1/2	4/4	3	1	V/VI					e	i		V/VI	V				VI			M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.5	0.0
9	9	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	1.0	0.0
9	9	1/2	1/2	4/4	3	1	V/VI					e	i		V/VI	V				VI			M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	1.5	0.0
10	10	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	3	0.25	0.125	0.875	0.125
10	10	1/2	1/2	4/4	3	1	V/VI					e	i		V/VI	V				VI			M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.25	0.0
11	11	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	4	0.2	0.125	1.375	0.08333333333333333
11	11	1/2	1/2	4/4	3	1	V/VI					e	i		V/VI	V				VI			M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.5	0.0
12	12	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	1.0	0.0
12	12	1/2	1/2	4/4	3	1	V/VI					e	i		V/VI	V				VI			M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	1.0	0.0
13	13	0	0	4/4	3	1	V/III					e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	1.25	0.0
13	13	1/2	1/2	4/4	3	1	III					e	i		III	III							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	1.0	0.0
13	13	3/4	3/4	4/4	3	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	2	2	0.5	0.25	0.25	0.5
14	14	0	0	4/4	3	1	V/III					e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	1.5	0.0
14	14	1/2	1/2	4/4	3	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	1.5	0.0
15	15	0	0	4/4	3	1	V					e	i		V	V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	1.5	0.0
15	15	1/2	1/2	4/4	3	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	1.5	0.0
16	16	0	0	4/4	3	1	iio6(112)					e	i		iio6(112)	ii	o	6	112				o	1	1	3, 0, 1	5	6	3	0	3	0.0	0.0	2.0	0.0
16	16	1/2	1/2	4/4	3	1	iio6					e	i		iio6	ii	o	6					o	1	1	3, 0, 6		6	3	0	2	0.0	0.0	1.0	0.0
17	17	0	0	4/4	3	1	V7					e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	3	0.0	0.0	2.0	0.0
17	17	1/2	1/2	4/4	3	1	V(64)					e	i		V(64)	V			64				M	1	1	5, 4, 1		5	5	0	4	0.0	0.0	1.0	0.0
18	18	0	0	4/4	3	1	V(4)					e	i		V(4)	V			4				M	1	1	5, 4, 6		5	5	0	3	0.0	0.0	1.75	0.0
18	18	1/4	1/4	4/4	3	1	V					e	i		V	V							M	1	1	5, 9, 6		5	5	1	3	0.25	0.125	1.125	0.1
19	19	0	0	4/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	0	5	0.0	0.0	3.0	0.0
20	20	0	0	4/4	3	1	ii6(112)/iv					e	i		ii6(112)/iv	ii		6	112	iv			m	1	1	2, 6, 0	4	5	2	0	3	0.0	0.0	1.5	0.0
20	20	1/2	1/2	4/4	3	1	ii6/iv					e	i		ii6/iv	ii		6		iv			m	1	1	2, 6, 5		5	2	0	3	0.0	0.0	1.5	0.0
21	21	0	0	4/4	3	1	V7/iv					e	i		V7/iv	V		7		iv			Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	2.0	0.0
21	21	1/2	1/2	4/4	3	1	V(64)/iv					e	i		V(64)/iv	V			64	iv			M	1	1	4, 3, 0		4	4	0	3	0.0	0.0	1.0	0.0
22	22	0	0	4/4	3	1	V(4)/iv					e	i		V(4)/iv	V			4	iv			M	1	1	4, 3, 5		4	4	0	3	0.0	0.0	2.0	0.0
22	22	1/4	1/4	4/4	3	1	V/iv					e	i		V/iv	V				iv			M	1	1	4, 8, 5		4	4	1	3	0.25	0.125	0.875	0.125
23	23	0	0	4/4	3	1	iv\\				IV\\	e	i		iv	iv						\\	m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	2.0	0.0
23	23	1/2	1/2	4/4	3	1	VII					e	i		VII	VII							M	1	1	2, 6, 3		2	2	0	6	0.0	0.0	2.0	0.0
24	24	1/2	1/2	4/4	3	1	v6					e	i		v6	v		6					m	1	1	2, 6, 5		5	2	0	4	0.0	0.0	1.5	0.0
25	25	0	0	4/4	3	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	1.5	0.0
25	25	1/4	1/4	4/4	3	1	VI6					e	i		VI6	VI		6					M	1	1	4, 1, 0		0	4	0	1	0.0	0.0	0.125	0.0
25	25	3/8	3/8	4/4	3	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	1	0.0	0.0	0.125	0.0
25	25	1/2	1/2	4/4	3	1	V65/VII					e	i		V65/VII	V		65		VII			Mm7	1	1	7, 4, 1, 3		3	7	0	4	0.0	0.0	1.25	0.0
26	26	0	0	4/4	3	1	VII					e	i		VII	VII							M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	2.0	0.0
26	26	1/2	1/2	4/4	3	1	v6					e	i		v6	v		6					m	1	1	2, 6, 5		5	2	0	2	0.0	0.0	1.0	0.0
27	27	0	0	4/4	3	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	5	0.0	0.0	3.0	0.0
28	28	0	0	4/4	3	1	V(6)/vii					e	i		V(6)/vii	V			6	vii			M	1	1	3, 7, -1		3	3	2	3	0.4	0.125	1.375	0.08333333333333333
28	28	1/2	1/2	4/4	3	1	V(64)/vii					e	i		V(64)/vii	V			64	vii			M	1	1	3, 2, -1		3	3	1	3	0.25	0.125	1.125	0.1
28	28	3/4	3/4	4/4	3	1	V(4)/VII					e	i		V(4)/VII	V			4	VII			M	1	1	3, 2, 4		3	3	0	5	0.0	0.0	2.75	0.0
29	29	1/2	1/2	4/4	3	1	V/VII					e	i		V/VII	V				VII			M	1	1	3, 7, 4		3	3	0	1	0.0	0.0	0.5	0.0
30	30	0	0	4/4	3	1	VII\\					e	i		VII	VII						\\	M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	3.0	0.0
31	31	0	0	4/4	3	1	III					e	i		III	III							M	1	1	1, 5, 2		1	1	3	9	0.25	0.375	5.125	0.06818181818181818
33	33	0	0	4/4	3	1	V(6)					e	i		V(6)	V			6				M	1	1	5, 9, 1		5	5	0	3	0.0	0.0	1.5	0.0
33	33	1/2	1/2	4/4	3	1	V(64)					e	i		V(64)	V			64				M	1	1	5, 4, 1		5	5	1	3	0.25	0.125	1.125	0.1
33	33	3/4	3/4	4/4	3	1	V(4)					e	i		V(4)	V			4				M	1	1	5, 4, 6		5	5	0	5	0.0	0.0	2.75	0.0
34	34	1/2	1/2	4/4	3	1	V					e	i		V	V							M	1	1	5, 9, 6		5	5	0	1	0.0	0.0	0.5	0.0
35	35	0	0	4/4	3	1	i\\					e	i		i	i						\\	m	1	1	4, 1, 5		4	4	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
36	36	0	0	4/4	3	1	IV/III					e	i		IV/III	IV				III			M	1	1	0, 4, 1		0	0	2	7	0.2222222222222222	0.25	2.25	0.1
37	37	0	0	4/4	3	1	III					e	i		III	III							M	1	1	1, 5, 2		1	1	2	8	0.2	0.25	2.25	0.1
38	38	0	0	4/4	3	1	V/III					e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	2	3	0.4	0.25	1.25	0.16666666666666666
38	38	1/2	1/2	4/4	3	1	V6/III					e	i		V6/III	V		6		III			M	1	1	6, 3, 2		2	6	0	2	0.0	0.0	0.5	0.0
38	38	3/4	3/4	4/4	3	1	III					e	i		III	III							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
39	39	0	0	4/4	3	1	IV/III					e	i		IV/III	IV				III			M	1	1	0, 4, 1		0	0	1	4	0.2	0.0625	1.6875	0.03571428571428571
39	39	1/2	1/2	4/4	3	1	V(4)/III					e	i		V(4)/III	V			4	III			M	1	1	2, 1, 3		2	2	0	2	0.0	0.0	1.0	0.0
39	39	3/4	3/4	4/4	3	1	V/III					e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	0	1	0.0	0.0	0.25	0.0
