mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	d.i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	6	0.0	0.0	3.0	0.0
2	2	1/2	1/2	4/4	4	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	2	0.0	0.0	0.5	0.0
2	2	3/4	3/4	4/4	4	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
3	3	0	0	4/4	4	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	1	4	0.2	0.125	0.875	0.125
3	3	1/2	1/2	4/4	4	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	1	4	0.2	0.125	0.875	0.125
4	4	0	0	4/4	4	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	2	2	0.5	0.25	0.75	0.25
4	4	1/2	1/2	4/4	4	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
4	4	3/4	3/4	4/4	4	1	#viio6					d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	0	2	0.0	0.0	0.5	0.0
5	5	0	0	4/4	4	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	2	4	0.3333333333333333	0.25	2.625	0.08695652173913043
6	6	0	0	4/4	4	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	2	5	0.2857142857142857	0.25	3.625	0.06451612903225806
7	7	0	0	4/4	4	1	V/IV					d	i		V/IV	V				IV			M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.25	0.0
7	7	1/2	1/2	4/4	4	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	1.25	0.0
8	8	0	0	4/4	4	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	1.25	0.0
8	8	1/2	1/2	4/4	4	1	IV6/III					d	i		IV6/III	IV		6		III			M	1	1	2, -1, -2		-2	2	0	2	0.0	0.0	0.5	0.0
8	8	3/4	3/4	4/4	4	1	viio/III					d	i		viio/III	vii	o			III			o	1	1	4, 1, -2		4	4	0	3	0.0	0.0	0.75	0.0
9	9	0	0	4/4	4	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.5	0.0
9	9	1/4	1/4	4/4	4	1	V(6)/III					d	i		V(6)/III	V			6	III			M	1	1	0, 4, 3		0	0	0	2	0.0	0.0	0.5	0.0
9	9	1/2	1/2	4/4	4	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	1.0	0.0
10	10	0	0	4/4	4	1	V(64)/III					d	i		V(64)/III	V			64	III			M	1	1	0, -1, 3		0	0	0	3	0.0	0.0	2.0	0.0
10	10	1/2	1/2	4/4	4	1	V/III\\					d	i		V/III	V				III		\\	M	1	1	0, 4, 1		0	0	2	10	0.16666666666666666	0.5	5.0	0.09090909090909091
12	12	1/2	1/2	4/4	4	1	V6/VII					d	i		V6/VII	V		6		VII			M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
12	12	3/4	3/4	4/4	4	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
13	13	0	0	4/4	4	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	1	4	0.2	0.125	0.875	0.125
13	13	1/2	1/2	4/4	4	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	1	4	0.2	0.125	0.875	0.125
14	14	0	0	4/4	4	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.75	0.0
14	14	3/8	3/8	4/4	4	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.25	0.0
14	14	1/2	1/2	4/4	4	1	#viio6					d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	0	2	0.0	0.0	0.5	0.0
14	14	3/4	3/4	4/4	4	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
15	15	0	0	4/4	4	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	2.625	0.08695652173913043
16	16	0	0	4/4	4	1	V/IV					d	i		V/IV	V				IV			M	1	1	2, 6, 3		2	2	2	5	0.2857142857142857	0.25	3.625	0.06451612903225806
17	17	0	0	4/4	4	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.25	0.0
17	17	1/2	1/2	4/4	4	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	5	0.0	0.0	1.25	0.0
18	18	0	0	4/4	4	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	8	0.0	0.0	2.5	0.0
19	19	0	0	4/4	4	1	iv				viio6/III	d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
19	19	1/4	1/4	4/4	4	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
19	19	1/2	1/2	4/4	4	1	iv				viio6/III	d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
19	19	3/4	3/4	4/4	4	1	III6					d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	0	3	0.0	0.0	0.5	0.0
19	19	7/8	7/8	4/4	4	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	0.25	0.0
20	20	0	0	4/4	4	1	iv6(2)					d	i		iv6(2)	iv		6	2				m	1	1	-2, 2, 3		1	-2	0	3	0.0	0.0	1.5	0.0
20	20	1/4	1/4	4/4	4	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	1.125	0.1
20	20	3/4	3/4	4/4	4	1	iio64					d	i		iio64	ii	o	64					o	1	1	-2, 4, 1		4	-2	0	1	0.0	0.0	0.25	0.0
21	21	0	0	4/4	4	1	V(64)					d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	3	0.0	0.0	2.5	0.0
21	21	1/2	1/2	4/4	4	1	V\\					d	i		V	V						\\	M	1	1	3, 7, 4		3	3	1	3	0.25	0.125	0.75	0.14285714285714285
22	22	0	0	4/4	4	1	V/IV					d	i		V/IV	V				IV			M	1	1	2, 6, 3		2	2	3	5	0.375	0.375	1.375	0.21428571428571427
22	22	1/2	1/2	4/4	4	1	IV6					d	i		IV6	IV		6					M	1	1	5, 2, 1		1	5	0	4	0.0	0.0	2.0	0.0
23	23	0	0	4/4	4	1	V/V					d	i		V/V	V				V			M	1	1	4, 8, 5		4	4	0	5	0.0	0.0	1.75	0.0
23	23	1/2	1/2	4/4	4	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	7	0.0	0.0	1.5	0.0
24	24	0	0	4/4	4	1	V/IV					d	i		V/IV	V				IV			M	1	1	2, 6, 3		2	2	0	7	0.0	0.0	1.75	0.0
24	24	1/2	1/2	4/4	4	1	V6/VII					d	i		V6/VII	V		6		VII			M	1	1	5, 2, 1		1	5	0	7	0.0	0.0	1.5	0.0
25	25	0	0	4/4	4	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	6	0.0	0.0	1.75	0.0
25	25	1/2	1/2	4/4	4	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.5	0.0
25	25	3/4	3/4	4/4	4	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
26	26	0	0	4/4	4	1	VI					d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	0	3	0.0	0.0	1.5	0.0
26	26	1/4	1/4	4/4	4	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.75	0.0
26	26	1/2	1/2	4/4	4	1	VI					d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.5	0.0
27	27	0	0	4/4	4	1	V(64)					d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	1	5	0.16666666666666666	0.125	2.375	0.05
27	27	1/2	1/2	4/4	4	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	1.5	0.0
28	28	0	0	4/4	4	1	i\\				I\\	d	i		i	i						\\	m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	4.0	0.0
29	29	0	0	4/4	4	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.375	0.0
29	29	1/4	1/4	4/4	4	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	2	2	0.5	0.25	0.25	0.5
