mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
64	64	1/4	1/4	4/4	5	1	IVM7/VII					g	i		IVM7/VII	IV	M	7		VII			MM7	1	1	-2, 2, -1, 3		-2	-2	0	4	0.0	0.0	1.25	0.0
64	64	1/2	1/2	4/4	5	1	V(4)/VII					g	i		V(4)/VII	V			4	VII			M	1	1	0, -1, 1		0	0	0	3	0.0	0.0	1.0	0.0
64	64	3/4	3/4	4/4	5	1	V/VII					g	i		V/VII	V				VII			M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
65	65	0	0	4/4	5	1	v					g	i		v	v							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.5	0.0
65	65	1/4	1/4	4/4	5	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	1.0	0.0
65	65	3/4	3/4	4/4	5	1	VII6					g	i		VII6	VII		6					M	1	1	3, 0, -1		-1	3	0	3	0.0	0.0	0.75	0.0
66	66	0	0	4/4	5	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.5	0.0
66	66	1/2	1/2	4/4	5	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	5	0.0	0.0	1.75	0.0
67	67	0	0	4/4	5	1	VI					g	i		VI	VI							M	1	1	-3, 1, -2		-3	-3	0	4	0.0	0.0	1.25	0.0
67	67	1/4	1/4	4/4	5	1	III6(6)					g	i		III6(6)	III		6	6				M	1	1	2, 1, -2		-2	2	0	3	0.0	0.0	0.75	0.0
67	67	1/2	1/2	4/4	5	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	2.0	0.0
68	68	0	0	4/4	5	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2	-2	0	6	0.0	0.0	2.5	0.0
68	68	1/2	1/2	4/4	5	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.0	0.0
68	68	3/4	3/4	4/4	5	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	0.75	0.0
69	69	0	0	4/4	5	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	2.0	0.0
69	69	1/2	1/2	4/4	5	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.75	0.0
70	70	0	0	4/4	5	1	III6					g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	3	0.0	0.0	1.5	0.0
70	70	1/2	1/2	4/4	5	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.75	0.0
71	71	0	0	4/4	5	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2	-2	1	6	0.14285714285714285	0.0625	1.9375	0.03125
71	71	1/2	1/2	4/4	5	1	IV					g	i		IV	IV							M	1	1	0, 4, 1		0	0	1	6	0.14285714285714285	0.0625	1.9375	0.03125
72	72	0	0	4/4	5	1	V(6)					g	i		V(6)	V			6				M	1	1	2, 6, -2		2	2	2	4	0.3333333333333333	0.125	1.75	0.06666666666666667
