mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
26	26	0	0	4/4	5	1	ii/VII					d	i		ii/VII	ii				VII			m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	3.0	0.0
26	26	1/2	1/2	4/4	5	1	viio6/VII	0	-5	/		d	i		viio6/VII	vii	o	6		VII			o	1	1	2, -1, 5		5	2	0	2	0.0	0.0	1.0	0.0
27	27	0	0	4/4	5	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	7	0.0	0.0	5.0	0.0
28	28	0	0	4/4	5	1	vi/VII	0	-5	/	IV6/VII	d	i		vi/VII	vi				VII			m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	3.0	0.0
28	28	1/2	1/2	4/4	5	1	V6(+4)/VII	0	-5	/		d	i		V6(+4)/VII	V		6	+4	VII			M	1	1	5, 2, 1	0	1	5	0	4	0.0	0.0	2.0	0.0
29	29	0	0	4/4	5	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	5	0.0	0.0	3.5	0.0
29	29	1/2	1/2	4/4	5	1	V(64)/III					d	i		V(64)/III	V			64	III			M	1	1	0, -1, 3		0	0	0	3	0.0	0.0	1.5	0.0
30	30	0	0	4/4	5	1	V(4)/III					d	i		V(4)/III	V			4	III			M	1	1	0, -1, 1		0	0	0	5	0.0	0.0	4.0	0.0
30	30	1/2	1/2	4/4	5	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	1.0	0.0
31	31	0	0	4/4	5	1	III\\					d	i		III	III						\\	M	1	1	-1, 3, 0		-1	-1	1	5	0.16666666666666666	0.25	3.25	0.07142857142857142
31	31	1/2	1/2	4/4	5	1	iv6/v					d	i		iv6/v	iv		6		v			m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.5	0.0
32	32	0	0	4/4	5	1	V(6)/v					d	i		V(6)/v	V			6	v			M	1	1	4, 8, 0		4	4	0	3	0.0	0.0	2.0	0.0
32	32	1/2	1/2	4/4	5	1	V(64)/v	0	-4.9	/		d	i		V(64)/v	V			64	v			M	1	1	4, 3, 0		4	4	0	2	0.0	0.0	1.0	0.0
33	33	0	0	4/4	5	1	V(4)/v					d	i		V(4)/v	V			4	v			M	1	1	4, 3, 5		4	4	0	3	0.0	0.0	2.0	0.0
