mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
83	83	1/2	1/2	4/4	3	1	v					g	i		v	v							m	1	1	2, -1, 3		2.0	2.0	0	2	0.0	0.0	1.0	0.0
84	84	0	0	4/4	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	1.5	0.0
84	84	1/2	1/2	4/4	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
85	85	0	0	4/4	3	1	VI					g	i		VI	VI							M	1	1	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	0.375	0.0
85	85	1/8	1/8	4/4	3	1	III6					g	i		III6	III		6					M	1	1	2, -1, -2		-2.0	2.0	0	3	0.0	0.0	0.375	0.0
85	85	1/4	1/4	4/4	3	1	iv6(62)					g	i		iv6(62)	iv		6	62				m	1	1	-3, 3, 2		0.0	-3.0	0	3	0.0	0.0	0.5	0.0
85	85	3/8	3/8	4/4	3	1	iv6					g	i		iv6	iv		6					m	1	1	-3, 1, 0		0.0	-3.0	0	2	0.0	0.0	0.25	0.0
85	85	1/2	1/2	4/4	3	1	V\\					g	i		V	V						\\	M	1	1	2, 6, 3		2.0	2.0	0	3	0.0	0.0	1.5	0.0
86	86	0	0	4/4	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	1.0	0.0
86	86	1/2	1/2	4/4	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	1.0	0.0
87	87	0	0	4/4	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	0	3	0.0	0.0	1.5	0.0
87	87	1/2	1/2	4/4	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	1.5	0.0
88	88	0	0	4/4	3	1	ii					g	i		ii	ii							m	1	1	3, 0, 4		3.0	3.0	1	4	0.2	0.0625	0.9375	0.0625
88	88	1/4	1/4	4/4	3	1	VII6					g	i		VII6	VII		6					M	1	1	3, 0, -1		-1.0	3.0	1	2	0.3333333333333333	0.125	0.5	0.2
88	88	1/2	1/2	4/4	3	1	V(4)/VII					g	i		V(4)/VII	V			4	VII			M	1	1	0, -1, 1		0.0	0.0	2	2	0.5	0.125	1.0	0.1111111111111111
88	88	3/4	3/4	4/4	3	1	V/VII					g	i		V/VII	V				VII			M	1	1	0, 4, 1		0.0	0.0	0	1	0.0	0.0	0.25	0.0
89	89	0	0	4/4	3	1	v					g	i		v	v							m	1	1	2, -1, 3		2.0	2.0	1	3	0.25	0.0625	0.4375	0.125
89	89	1/4	1/4	4/4	3	1	III6					g	i		III6	III		6					M	1	1	2, -1, -2		-2.0	2.0	1	2	0.3333333333333333	0.125	0.5	0.2
89	89	1/2	1/2	4/4	3	1	V(4)/III					g	i		V(4)/III	V			4	III			M	1	1	-1, -2, 0		-1.0	-1.0	3	2	0.6	0.25	0.625	0.2857142857142857
89	89	3/4	3/4	4/4	3	1	V/III					g	i		V/III	V				III			M	1	1	-1, 3, 0		-1.0	-1.0	1	3	0.25	0.0625	0.4375	0.125
90	90	0	0	4/4	3	1	iv(4)					g	i		iv(4)	iv			4				m	1	1	0, -1, 1		0.0	0.0	0	3	0.0	0.0	0.75	0.0
