mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	a.i					a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	3.0	0.0
2	2	1/2	1/2	4/4	3	1	III					a	i		III	III							M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	2.0	0.0
3	3	1/2	1/2	4/4	3	1	VII					a	i		VII	VII							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	2.0	0.0
4	4	1/2	1/2	4/4	3	1	i					a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
5	5	0	0	4/4	3	1	V					a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	0	2	0.0	0.0	2.0	0.0
6	6	0	0	4/4	3	1	VI				iv6	a	i		VI	VI							M	1	1	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	1.0	0.0
6	6	1/2	1/2	4/4	3	1	iv					a	i		iv	iv							m	1	1	2, -1, 3		2.0	2.0	0	2	0.0	0.0	1.0	0.0
7	7	0	0	4/4	3	1	vii					a	i		vii	vii							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	1.0	0.0
7	7	1/2	1/2	4/4	3	1	V					a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
8	8	0	0	4/4	3	1	V/iv					a	i		V/iv	V				iv			M	1	1	3, 7, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
8	8	1/2	1/2	4/4	3	1	IV/iv					a	i		IV/iv	IV				iv			M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	1.0	0.0
9	9	0	0	4/4	3	1	V(4)/iv					a	i		V(4)/iv	V			4	iv			M	1	1	3, 2, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
9	9	1/2	1/2	4/4	3	1	V/iv					a	i		V/iv	V				iv			M	1	1	3, 7, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
10	10	0	0	4/4	3	1	iv\\					a	i		iv	iv						\\	m	1	1	2, -1, 3		2.0	2.0	0	2	0.0	0.0	2.0	0.0
11	11	0	0	4/4	3	1	i					a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0	8	0.0	0.0	5.0	0.0
13	13	0	0	4/4	3	1	iv(9)					a	i		iv(9)	iv			9				m	1	1	2, -1, 3	4	2.0	2.0	0	3	0.0	0.0	1.5	0.0
13	13	1/2	1/2	4/4	3	1	ii					a	i		ii	ii							m	1	1	5, 2, 6		5.0	5.0	0	3	0.0	0.0	1.5	0.0
14	14	0	0	4/4	3	1	V7					a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	3	0.0	0.0	1.5	0.0
14	14	1/2	1/2	4/4	3	1	V(64)					a	i		V(64)	V			64				M	1	1	4, 3, 0		4.0	4.0	0	3	0.0	0.0	1.5	0.0
15	15	0	0	4/4	3	1	V(4)					a	i		V(4)	V			4				M	1	1	4, 3, 5		4.0	4.0	0	3	0.0	0.0	2.0	0.0
15	15	1/2	1/2	4/4	3	1	V					a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
16	16	0	0	4/4	3	1	i\\					a	i		i	i						\\	m	1	1	3, 0, 4		3.0	3.0	0	7	0.0	0.0	4.0	0.0
17	17	1/2	1/2	4/4	3	1	III					a	i		III	III							M	1	1	0, 4, 1		0.0	0.0	0	6	0.0	0.0	3.0	0.0
18	18	1/2	1/2	4/4	3	1	VII					a	i		VII	VII							M	1	1	1, 5, 2		1.0	1.0	0	6	0.0	0.0	3.0	0.0
