mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
39	39	1/2	1/2	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	8	0.0	0.0	2.0	0.0
40	40	0	0	4/4	6	1	i\\	I\\	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	2.5	0.0
40	40	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	4	9	0.3076923076923077	0.5	2.25	0.18181818181818182
41	41	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.0	0.0
41	41	3/4	3/4	4/4	6	1	v6		g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
42	42	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	1	5	0.16666666666666666	0.125	1.625	0.07142857142857142
42	42	3/4	3/4	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.5	0.0
42	42	7/8	7/8	4/4	6	1	III6		g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	2	0.0	0.0	0.25	0.0
43	43	0	0	4/4	6	1	ii65/III		g	i		ii65/III	ii		65		III			mm7	1	1	-3, 1, -2, 0		0	-3	0	3	0.0	0.0	0.875	0.0
43	43	1/4	1/4	4/4	6	1	V/III		g	i		V/III	V				III			M	1	1	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.5	0.2
43	43	1/2	1/2	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-2, 2, -1		-2	-2	0	8	0.0	0.0	2.5	0.0
44	44	1/4	1/4	4/4	6	1	VII[VII6		g	i	VII	VII6	VII		6					M	1	1	3, 0, -1		-1	3	0	4	0.0	0.0	0.625	0.0
44	44	3/8	3/8	4/4	6	1	VI6		g	i	VII	VI6	VI		6					M	1	1	1, -2, -3		-3	1	0	3	0.0	0.0	0.375	0.0
44	44	1/2	1/2	4/4	6	1	v6]		g	i	VII	v6	v		6					m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.0	0.0
44	44	3/4	3/4	4/4	6	1	iv6		g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.0	0.0
45	45	0	0	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	2, 6, 3		2	2	6	13	0.3157894736842105	0.75	4.0	0.15789473684210525
46	46	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.25	0.0
46	46	3/4	3/4	4/4	6	1	V/iv		g	i		V/iv	V				iv			M	1	1	1, 5, 2		1	1	2	2	0.5	0.25	0.25	0.5
47	47	0	0	4/4	6	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	2.0	0.0
47	47	1/2	1/2	4/4	6	1	V(4)		g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	0	4	0.0	0.0	1.0	0.0
47	47	3/4	3/4	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	8	0.0	0.0	1.0	0.0
48	48	0	0	4/4	6	1	i\\	I\\	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	4.0	0.0
49	49	0	0	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	10	15	0.4	0.75	4.0	0.15789473684210525
51	51	0	0	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	4	7	0.36363636363636365	0.25	1.25	0.16666666666666666
51	51	1/2	1/2	4/4	6	1	III		g	i		III	III							M	1	1	-2, 2, -1		-2	-2	2	3	0.4	0.25	1.25	0.16666666666666666
52	52	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
52	52	1/4	1/4	4/4	6	1	v6		g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.75	0.0
52	52	1/2	1/2	4/4	6	1	VI		g	i		VI	VI							M	1	1	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.5	0.0
52	52	5/8	5/8	4/4	6	1	VIM7		g	i		VIM7	VI	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
52	52	3/4	3/4	4/4	6	1	iv6(62)		g	i		iv6(62)	iv		6	62				m	1	1	-3, 3, 2		0	-3	0	2	0.0	0.0	0.375	0.0
52	52	7/8	7/8	4/4	6	1	iv6		g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	0	2	0.0	0.0	0.25	0.0
53	53	0	0	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	2, 6, 3		2	2	0	13	0.0	0.0	4.125	0.0
54	54	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	1	5	0.16666666666666666	0.0625	1.4375	0.041666666666666664
55	55	0	0	4/4	6	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0	0	2	7	0.2222222222222222	0.125	1.375	0.08333333333333333
55	55	1/2	1/2	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	8	0.0	0.0	1.5	0.0
56	56	0	0	4/4	6	1	i\\		g	i		i	i						\\	m	1	1	1, -2, 2		1	1	2	10	0.16666666666666666	0.25	3.875	0.06060606060606061
57	57	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	3	11	0.21428571428571427	0.375	3.125	0.10714285714285714
58	58	3/4	3/4	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.25	0.0
58	58	7/8	7/8	4/4	6	1	III6		g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	3	0.0	0.0	0.375	0.0
59	59	0	0	4/4	6	1	IV/III		g	i		IV/III	IV				III			M	1	1	-3, 1, -2		-3	-3	1	3	0.25	0.125	0.625	0.16666666666666666
59	59	1/4	1/4	4/4	6	1	V7/III		g	i		V7/III	V		7		III			Mm7	1	1	-1, 3, 0, -3		-1	-1	0	4	0.0	0.0	0.75	0.0
59	59	1/2	1/2	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-2, 2, -1		-2	-2	1	6	0.14285714285714285	0.125	2.125	0.05555555555555555
60	60	1/4	1/4	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.0	0.0
60	60	1/2	1/2	4/4	6	1	v6		g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
60	60	3/4	3/4	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
61	61	0	0	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	1.5	0.0
61	61	1/2	1/2	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	2	8	0.2	0.25	2.0	0.1111111111111111
62	62	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	2	6	0.25	0.25	1.125	0.18181818181818182
